date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:06,21,17,15.6,67,15.3,0.0,24140.0
2024-04-13 23:10:07,21,15,14.9,72,14.6,0.0,24140.0
2024-04-13 23:32:23,21,15,14.4,72,14.0,0.0,24140.0
2024-04-14 00:30:26,21,14,13.2,77,12.8,0.0,24140.0
2024-04-14 01:59:36,21,14,12.1,81,11.7,0.0,24140.0
2024-04-14 03:14:26,21,14,11.6,81,11.2,0.0,24140.0
2024-04-14 03:58:50,21,14,11.1,83,10.7,0.0,24140.0
2024-04-14 04:35:37,21,14,10.3,88,9.8,0.0,24140.0
2024-04-14 05:54:32,21,14,11.4,87,11.0,0.0,24140.0
2024-04-14 06:20:30,21,14,12.5,84,12.3,0.0,24140.0
2024-04-14 08:05:29,21,14,19.2,69,19.6,0.0,24140.0
2024-04-14 08:47:40,21,14,21.9,61,22.9,0.0,24140.0
2024-04-14 11:16:50,21,14,27.8,37,28.5,0.0,24140.0
2024-04-14 14:33:12,21,14,30.5,26,28.4,0.0,24140.0
2024-04-14 21:07:26,21,13,17.3,63,16.9,0.0,24140.0
2024-04-14 23:30:12,21,13,14.9,68,14.5,0.0,24140.0
2024-04-15 00:11:06,21,13,14.6,71,14.2,0.0,24140.0
2024-04-15 03:42:00,21,12,12.1,77,11.4,0.0,24140.0
2024-04-15 04:24:58,21,12,12.1,76,11.4,0.0,24140.0
2024-04-15 04:40:20,21,12,11.9,79,11.2,0.0,24140.0
2024-04-15 05:07:28,21,12,11.9,79,11.3,0.0,24140.0
2024-04-15 05:32:13,21,12,12.9,77,12.3,0.0,24140.0
2024-04-15 06:10:00,21,12,13.8,75,13.3,0.0,24140.0
2024-04-15 06:32:16,21,12,16.0,68,15.5,0.0,24140.0
2024-04-15 07:04:31,21,13,18.1,62,17.6,0.0,24140.0
2024-04-15 07:32:33,21,14,20.2,53,19.2,0.0,24140.0
2024-04-15 08:08:42,21,16,22.0,46,20.7,0.0,24140.0
2024-04-15 08:32:11,21,15,23.8,42,23.1,0.0,24140.0
2024-04-15 09:05:14,21,15,25.1,39,25.0,0.0,24140.0
2024-04-15 09:33:26,21,12,26.1,37,26.0,0.0,24140.0
2024-04-15 10:06:17,21,10,26.9,35,26.4,0.0,24140.0
2024-04-15 10:32:00,21,13,27.0,34,27.0,0.0,24140.0
2024-04-15 11:03:44,21,8,27.5,33,27.1,0.0,24140.0
2024-04-15 11:32:22,21,10,27.6,33,26.3,0.0,24140.0
2024-04-15 12:13:22,21,8,27.6,33,25.7,0.0,24140.0
2024-04-15 12:42:29,21,7,27.8,32,25.4,0.0,24140.0
2024-04-15 13:08:22,21,6,27.9,31,25.0,0.0,24140.0
2024-04-15 13:32:31,21,2,27.4,30,24.4,0.0,24140.0
2024-04-15 14:05:10,21,1,27.0,31,24.2,0.0,24140.0
2024-04-15 14:32:34,21,1,26.0,30,22.9,0.0,24140.0
2024-04-15 15:04:38,21,0,25.2,29,21.8,0.0,24140.0
2024-04-15 15:32:45,21,0,24.3,29,20.7,0.0,24140.0
2024-04-15 16:08:20,21,0,23.6,29,19.9,0.0,24140.0
2024-04-15 16:32:24,21,1,22.7,37,19.1,0.0,24140.0
2024-04-15 17:05:55,21,1,22.1,39,18.6,0.0,24140.0
2024-04-15 17:32:21,21,4,21.5,40,18.3,0.0,24140.0
2024-04-15 18:10:01,21,1,21.0,41,18.2,0.0,24140.0
2024-04-15 18:35:51,21,8,20.5,40,17.8,0.0,24140.0
2024-04-15 19:04:17,21,8,20.2,38,17.5,0.0,24140.0
2024-04-15 19:32:06,21,10,19.9,40,18.3,0.0,24140.0
2024-04-15 20:08:06,21,10,19.6,43,18.2,0.0,24140.0
2024-04-15 20:32:49,21,10,18.2,49,16.9,0.0,24140.0
2024-04-15 21:07:50,21,11,17.0,54,15.7,0.0,24140.0
2024-04-15 21:32:38,21,12,16.2,58,14.9,0.0,24140.0
2024-04-15 22:05:03,21,12,15.8,61,14.3,0.0,24140.0
2024-04-15 22:32:09,21,12,17.4,53,16.4,0.0,24140.0
2024-04-15 23:05:26,21,12,15.4,62,14.1,0.0,24140.0
2024-04-15 23:32:19,21,12,14.1,71,12.3,0.0,24140.0
2024-04-16 00:30:14,21,12,12.7,80,10.3,0.0,24140.0
2024-04-16 01:33:46,21,12,12.8,81,10.9,0.0,24140.0
2024-04-16 02:15:56,21,12,12.8,81,11.3,0.0,24140.0
2024-04-16 02:34:02,21,12,12.8,81,11.4,0.0,24140.0
2024-04-16 03:09:19,21,12,12.9,81,11.6,0.0,11200.0
2024-04-16 03:32:04,21,12,12.9,81,11.8,0.0,11200.0
2024-04-16 04:09:07,21,12,12.9,81,12.0,0.0,11640.0
2024-04-16 04:32:23,21,12,13.1,80,11.9,0.0,11640.0
2024-04-16 05:08:12,21,13,13.2,82,12.0,0.0,10120.0
2024-04-16 05:32:22,21,13,13.0,85,12.1,0.0,10120.0
2024-04-16 06:09:33,21,14,12.8,87,11.4,0.0,18480.0
2024-04-16 06:33:25,21,13,12.6,86,11.2,0.0,18480.0
2024-04-16 07:08:17,21,15,12.6,85,10.9,0.0,7540.0
2024-04-16 07:33:30,21,16,9.8,82,7.2,0.0,7540.0
2024-04-16 08:09:21,21,15,8.1,82,5.4,0.0,6260.0
2024-04-16 08:32:13,21,15,7.5,83,4.4,0.0,6260.0
2024-04-16 09:07:46,21,15,7.3,85,4.1,0.0,320.0
2024-04-16 09:32:51,21,15,7.3,85,4.2,0.0,320.0
2024-04-16 10:07:52,21,15,7.3,85,4.4,0.0,60.0
2024-04-16 10:33:06,21,13,6.3,80,2.6,0.0,60.0
2024-04-16 11:04:45,21,11,5.1,83,1.2,0.0,60.0
2024-04-16 11:32:23,21,12,4.8,83,0.9,0.0,60.0
2024-04-16 12:11:49,21,12,4.8,83,1.0,0.0,100.0
2024-04-16 12:46:02,21,11,4.3,85,1.2,0.0,100.0
2024-04-16 13:09:51,21,11,4.2,85,1.3,0.0,80.0
2024-04-16 13:32:16,21,11,3.5,88,1.0,0.3,80.0
2024-04-16 14:08:00,21,9,3.6,87,1.2,0.3,60.0
2024-04-16 14:32:22,21,9,3.7,86,1.1,0.4,60.0
2024-04-16 15:07:17,21,9,3.7,86,1.1,0.4,60.0
2024-04-16 15:32:19,21,8,4.2,84,1.8,0.2,60.0
2024-04-16 16:11:32,21,8,4.7,83,2.4,0.3,100.0
2024-04-16 16:34:26,21,8,3.2,89,0.2,0.2,100.0
2024-04-16 17:05:07,21,8,3.2,89,-0.4,0.6,200.0
2024-04-16 17:33:03,21,6,3.2,88,-0.5,0.2,240.0
2024-04-16 18:08:59,21,1,3.2,87,-0.4,0.0,140.0
2024-04-16 18:32:26,21,1,3.5,86,-0.1,0.0,140.0
2024-04-16 19:02:52,21,4,3.8,85,0.3,0.0,320.0
2024-04-16 19:32:07,21,8,3.8,85,0.9,0.0,320.0
2024-04-16 20:07:39,21,8,3.9,85,1.0,0.1,5080.0
2024-04-16 20:32:16,21,9,4.0,84,1.2,0.1,5080.0
2024-04-16 21:05:49,21,10,4.0,84,1.3,0.0,10820.0
2024-04-16 21:32:17,21,10,4.1,84,1.8,0.0,10820.0
2024-04-16 22:05:24,21,10,4.2,84,2.3,0.0,10900.0
2024-04-16 22:33:17,21,10,4.2,84,1.9,0.0,10900.0
2024-04-16 23:08:44,21,10,4.3,84,2.1,0.0,10780.0
2024-04-16 23:32:20,21,10,4.1,86,1.9,0.0,10560.0
2024-04-17 00:30:33,21,10,3.6,89,1.2,0.0,10580.0
2024-04-17 01:34:02,21,10,2.7,94,0.3,0.0,14300.0
2024-04-17 02:17:27,21,9,2.3,94,-0.1,0.0,24140.0
2024-04-17 02:38:05,21,9,2.2,95,-0.2,0.0,24140.0
2024-04-17 03:07:38,21,9,2.0,96,-0.3,0.0,18980.0
2024-04-17 03:32:39,21,9,1.9,96,-0.5,0.0,18980.0
2024-04-17 04:10:17,21,9,1.8,96,-0.6,0.0,24140.0
2024-04-17 04:32:48,21,9,1.4,100,-0.8,0.0,24140.0
2024-04-17 05:07:06,21,9,1.2,100,-0.9,0.0,24140.0
2024-04-17 05:32:29,21,9,1.8,99,-0.2,0.0,24140.0
2024-04-17 06:10:59,21,9,2.4,97,0.1,0.0,24140.0
