date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:11,20,15,15.6,61,14.9,0.0,24140.0
2024-04-13 23:10:08,20,12,15.1,65,14.3,0.0,24140.0
2024-04-13 23:32:26,20,12,14.4,69,13.8,0.0,24140.0
2024-04-14 00:30:29,20,11,13.4,73,12.8,0.0,24140.0
2024-04-14 01:59:37,20,11,12.5,74,11.7,0.0,24140.0
2024-04-14 03:14:28,20,11,13.2,68,12.3,0.0,24140.0
2024-04-14 03:58:52,20,11,12.1,74,11.3,0.0,24140.0
2024-04-14 04:35:38,20,11,11.3,78,10.4,0.0,24140.0
2024-04-14 05:54:34,20,11,12.1,73,11.0,0.0,24140.0
2024-04-14 06:20:32,20,11,13.1,71,12.0,0.0,24140.0
2024-04-14 08:05:31,20,13,18.4,63,18.2,0.0,24140.0
2024-04-14 08:47:42,20,16,21.5,61,22.5,0.0,24140.0
2024-04-14 11:16:52,20,15,27.8,36,28.7,0.0,24140.0
2024-04-14 14:33:14,20,15,30.8,23,29.4,0.0,24140.0
2024-04-14 21:07:28,20,19,17.2,64,16.8,0.0,24140.0
2024-04-14 23:30:15,20,15,15.6,58,14.7,0.0,24140.0
2024-04-15 00:11:07,20,15,15.9,56,15.0,0.0,24140.0
2024-04-15 03:42:02,20,16,12.4,78,11.6,0.0,24140.0
2024-04-15 04:25:01,20,17,12.3,75,11.6,0.0,24140.0
2024-04-15 04:40:22,20,19,12.1,74,11.3,0.0,24140.0
2024-04-15 05:07:29,20,20,12.4,70,11.6,0.0,24140.0
2024-04-15 05:32:14,20,20,12.9,71,12.1,0.0,24140.0
2024-04-15 06:10:02,20,13,13.4,72,12.5,0.0,24140.0
2024-04-15 06:32:19,20,16,15.4,66,14.5,0.0,24140.0
2024-04-15 07:04:32,20,17,17.1,59,16.2,0.0,24140.0
2024-04-15 07:32:35,20,17,20.0,49,18.8,0.0,24140.0
2024-04-15 08:08:44,20,20,22.0,47,21.0,0.0,24140.0
2024-04-15 08:32:13,20,11,23.7,42,23.2,0.0,24140.0
2024-04-15 09:05:16,20,11,25.0,38,24.7,0.0,24140.0
2024-04-15 09:33:27,20,12,26.1,35,26.2,0.0,24140.0
2024-04-15 10:06:19,20,18,26.9,33,27.2,0.0,24140.0
2024-04-15 10:32:02,20,18,26.8,35,28.0,0.0,24140.0
2024-04-15 11:03:47,20,16,27.5,34,28.4,0.0,24140.0
2024-04-15 11:32:25,20,19,27.9,32,27.5,0.0,24140.0
2024-04-15 12:13:24,20,20,28.0,30,26.5,0.0,24140.0
2024-04-15 12:42:31,20,20,28.1,29,26.0,0.0,24140.0
2024-04-15 13:08:25,20,18,28.0,29,25.6,0.0,24140.0
2024-04-15 13:32:33,20,11,27.5,28,24.7,0.0,24140.0
2024-04-15 14:05:12,20,8,27.0,30,24.3,0.0,24140.0
2024-04-15 14:32:37,20,9,26.2,29,23.4,0.0,24140.0
2024-04-15 15:04:39,20,16,25.5,27,22.6,0.0,24140.0
2024-04-15 15:32:47,20,18,24.6,27,21.5,0.0,24140.0
2024-04-15 16:08:22,20,15,24.0,27,20.7,0.0,24140.0
2024-04-15 16:32:26,20,13,23.0,35,20.2,0.0,24140.0
2024-04-15 17:05:57,20,12,22.4,37,19.7,0.0,24140.0
2024-04-15 17:32:23,20,10,21.8,37,19.3,0.0,24140.0
2024-04-15 18:10:03,20,12,21.4,37,19.2,0.0,24140.0
2024-04-15 18:35:53,20,10,20.9,37,18.8,0.0,24140.0
2024-04-15 19:04:19,20,12,20.5,37,18.5,0.0,24140.0
2024-04-15 19:32:09,20,9,20.4,39,18.1,0.0,24140.0
2024-04-15 20:08:08,20,5,20.0,41,17.7,0.0,24140.0
2024-04-15 20:32:51,20,4,19.0,45,17.5,0.0,24140.0
2024-04-15 21:07:52,20,5,18.2,48,16.5,0.0,24140.0
2024-04-15 21:32:41,20,5,17.1,54,15.2,0.0,24140.0
2024-04-15 22:05:06,20,4,16.1,60,14.4,0.0,24140.0
2024-04-15 22:32:10,20,4,17.4,53,15.8,0.0,24140.0
2024-04-15 23:05:27,20,4,15.6,62,13.8,0.0,24140.0
2024-04-15 23:32:21,20,4,14.3,70,12.4,0.0,24140.0
2024-04-16 00:30:16,20,3,12.9,79,10.8,0.0,24140.0
2024-04-16 01:33:47,20,4,12.9,80,11.5,0.0,24140.0
2024-04-16 02:15:58,20,4,12.9,80,11.8,0.0,24140.0
2024-04-16 02:34:05,20,4,12.8,81,11.8,0.0,24140.0
2024-04-16 03:09:20,20,5,12.6,81,11.5,0.0,11200.0
2024-04-16 03:32:06,20,5,12.7,81,11.8,0.0,11200.0
2024-04-16 04:09:09,20,5,12.8,80,12.0,0.0,11640.0
2024-04-16 04:32:26,20,7,13.1,81,12.2,0.0,11640.0
2024-04-16 05:08:13,20,10,13.2,81,12.1,0.0,10120.0
2024-04-16 05:32:24,20,11,13.1,83,12.1,0.0,10120.0
2024-04-16 06:09:35,20,16,12.9,85,11.7,0.0,18480.0
2024-04-16 06:33:27,20,18,12.8,85,11.4,0.0,18480.0
2024-04-16 07:08:19,20,20,12.6,85,11.0,0.0,7540.0
2024-04-16 07:33:32,20,8,9.9,82,7.5,0.0,7540.0
2024-04-16 08:09:23,20,9,8.2,81,5.5,0.0,6260.0
2024-04-16 08:32:14,20,10,7.6,82,4.7,0.0,6260.0
2024-04-16 09:07:48,20,8,7.4,84,4.4,0.0,320.0
2024-04-16 09:32:54,20,8,7.4,82,4.8,0.0,320.0
2024-04-16 10:07:53,20,8,7.6,79,4.3,0.0,60.0
2024-04-16 10:33:08,20,8,7.0,79,3.8,0.0,60.0
2024-04-16 11:04:47,20,8,6.6,81,3.3,0.0,60.0
2024-04-16 11:32:25,20,10,5.6,82,2.3,0.0,60.0
2024-04-16 12:11:51,20,11,4.8,82,1.4,0.0,100.0
2024-04-16 12:46:04,20,11,3.9,84,1.1,0.0,100.0
2024-04-16 13:09:52,20,11,3.8,85,1.1,0.0,80.0
2024-04-16 13:32:17,20,11,3.2,88,0.9,0.2,80.0
2024-04-16 14:08:01,20,11,3.0,88,0.3,0.4,60.0
2024-04-16 14:32:24,20,10,3.5,86,0.7,0.1,60.0
2024-04-16 15:07:20,20,9,4.0,84,1.3,0.1,60.0
2024-04-16 15:32:21,20,7,4.6,82,2.0,0.3,60.0
2024-04-16 16:11:34,20,4,5.0,80,2.4,0.2,100.0
2024-04-16 16:34:28,20,4,3.5,87,0.4,0.2,100.0
2024-04-16 17:05:09,20,5,3.2,88,0.0,0.3,200.0
2024-04-16 17:33:05,20,5,3.2,87,0.1,0.0,240.0
2024-04-16 18:09:01,20,5,3.3,85,0.3,0.0,140.0
2024-04-16 18:32:27,20,5,3.7,84,0.8,0.0,140.0
2024-04-16 19:02:54,20,5,4.0,83,1.1,0.0,320.0
2024-04-16 19:32:08,20,6,3.9,84,1.4,0.0,320.0
2024-04-16 20:07:41,20,4,4.0,84,1.4,0.1,5080.0
2024-04-16 20:32:19,20,3,4.1,84,1.6,0.1,5080.0
2024-04-16 21:05:51,20,3,4.1,84,1.9,0.0,10820.0
2024-04-16 21:32:19,20,4,4.3,83,2.4,0.0,10820.0
2024-04-16 22:05:26,20,4,4.4,82,2.3,0.0,10900.0
2024-04-16 22:33:19,20,4,4.3,85,2.2,0.0,10900.0
2024-04-16 23:08:45,20,3,4.5,86,2.4,0.0,10780.0
2024-04-16 23:32:22,20,3,4.6,85,2.5,0.0,10560.0
2024-04-17 00:30:35,20,3,4.3,85,2.0,0.0,10580.0
2024-04-17 01:34:04,20,3,3.4,91,1.1,0.0,14300.0
2024-04-17 02:17:28,20,3,2.6,95,0.2,0.0,24140.0
2024-04-17 02:38:07,20,3,2.5,95,0.1,0.0,24140.0
2024-04-17 03:07:40,20,4,2.3,95,0.0,0.0,18980.0
2024-04-17 03:32:42,20,4,2.2,96,-0.1,0.0,18980.0
2024-04-17 04:10:18,20,6,2.2,97,-0.1,0.0,24140.0
2024-04-17 04:32:50,20,6,2.0,97,-0.3,0.0,24140.0
2024-04-17 05:07:08,20,11,1.8,97,-0.5,0.0,24140.0
2024-04-17 05:32:31,20,12,2.7,92,0.3,0.0,24140.0
2024-04-17 06:11:01,20,13,3.5,88,1.1,0.0,24140.0
2024-04-17 06:35:47,20,17,5.2,81,3.2,0.0,24140.0
2024-04-17 07:06:40,20,20,6.6,76,4.7,0.0,24140.0
2024-04-17 07:32:27,20,20,6.9,76,4.6,0.0,24140.0
2024-04-17 08:09:30,20,20,7.7,75,5.6,0.0,24140.0
2024-04-17 08:32:22,20,19,9.2,67,7.6,0.0,24140.0
2024-04-17 09:07:12,20,9,10.4,60,8.9,0.0,20360.0
2024-04-17 09:32:13,20,10,11.1,54,9.0,0.0,20360.0
2024-04-17 10:07:36,20,13,11.5,50,9.2,0.0,19600.0
2024-04-17 10:33:25,20,14,11.4,57,9.6,0.0,19600.0
2024-04-17 11:05:28,20,10,11.9,55,10.1,0.0,17880.0
2024-04-17 11:32:44,20,14,12.4,51,10.4,0.0,14980.0
2024-04-17 12:12:20,20,11,12.8,47,10.3,0.0,17880.0
2024-04-17 12:46:03,20,5,13.2,44,10.5,0.0,17880.0
2024-04-17 13:07:22,20,5,13.4,44,9.9,0.0,14620.0
