date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:10,20,19,15.7,61,14.9,0.0,24140.0
2024-04-13 23:10:08,20,20,15.1,65,14.3,0.0,24140.0
2024-04-13 23:32:25,20,20,14.4,69,13.8,0.0,24140.0
2024-04-14 00:30:28,20,20,13.4,73,12.8,0.0,24140.0
2024-04-14 01:59:37,20,20,12.5,74,11.7,0.0,24140.0
2024-04-14 03:14:27,20,20,13.2,68,12.3,0.0,24140.0
2024-04-14 03:58:51,20,20,12.1,74,11.3,0.0,24140.0
2024-04-14 04:35:38,20,20,11.3,78,10.4,0.0,24140.0
2024-04-14 05:54:34,20,20,12.1,73,11.0,0.0,24140.0
2024-04-14 06:20:31,20,20,13.1,71,12.0,0.0,24140.0
2024-04-14 08:05:30,20,15,18.4,63,18.2,0.0,24140.0
2024-04-14 08:47:41,20,16,21.5,61,22.5,0.0,24140.0
2024-04-14 11:16:52,20,19,27.8,36,28.7,0.0,24140.0
2024-04-14 14:33:13,20,15,30.8,23,29.4,0.0,24140.0
2024-04-14 21:07:28,20,15,17.2,64,16.8,0.0,24140.0
2024-04-14 23:30:14,20,16,15.6,58,14.7,0.0,24140.0
2024-04-15 00:11:07,20,16,15.9,56,15.0,0.0,24140.0
2024-04-15 03:42:01,20,17,12.4,78,11.6,0.0,24140.0
2024-04-15 04:25:00,20,17,12.3,75,11.6,0.0,24140.0
2024-04-15 04:40:21,20,17,12.1,74,11.3,0.0,24140.0
2024-04-15 05:07:29,20,14,12.4,70,11.6,0.0,24140.0
2024-04-15 05:32:14,20,14,12.9,71,12.1,0.0,24140.0
2024-04-15 06:10:02,20,13,13.4,72,12.5,0.0,24140.0
2024-04-15 06:32:18,20,14,15.4,66,14.5,0.0,24140.0
2024-04-15 07:04:32,20,13,17.1,59,16.2,0.0,24140.0
2024-04-15 07:32:34,20,13,20.1,49,18.8,0.0,24140.0
2024-04-15 08:08:43,20,12,22.0,47,21.0,0.0,24140.0
2024-04-15 08:32:13,20,14,23.8,42,23.2,0.0,24140.0
2024-04-15 09:05:16,20,11,25.0,38,24.7,0.0,24140.0
2024-04-15 09:33:27,20,13,26.1,35,26.2,0.0,24140.0
2024-04-15 10:06:18,20,17,26.9,33,27.2,0.0,24140.0
2024-04-15 10:32:02,20,10,26.9,35,28.0,0.0,24140.0
2024-04-15 11:03:46,20,17,27.5,34,28.4,0.0,24140.0
2024-04-15 11:32:24,20,16,27.9,32,27.5,0.0,24140.0
2024-04-15 12:13:23,20,18,28.0,30,26.5,0.0,24140.0
2024-04-15 12:42:31,20,20,28.1,29,26.0,0.0,24140.0
2024-04-15 13:08:24,20,20,28.0,29,25.6,0.0,24140.0
2024-04-15 13:32:33,20,20,27.5,28,24.7,0.0,24140.0
2024-04-15 14:05:12,20,19,27.0,30,24.3,0.0,24140.0
