date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:08,22,4,14.8,65,14.0,0.0,24140.0
2024-04-13 23:10:07,22,1,13.2,75,12.6,0.0,24140.0
2024-04-13 23:32:24,22,1,13.2,74,12.5,0.0,24140.0
2024-04-14 00:30:27,22,2,13.0,71,12.0,0.0,24140.0
2024-04-14 01:59:36,22,5,11.8,74,10.6,0.0,24140.0
2024-04-14 03:14:27,22,11,11.8,72,10.7,0.0,24140.0
2024-04-14 03:58:51,22,11,11.6,72,10.5,0.0,24140.0
2024-04-14 04:35:37,22,10,10.1,79,9.0,0.0,24140.0
2024-04-14 05:54:33,22,12,11.6,78,10.5,0.0,24140.0
2024-04-14 06:20:30,22,13,12.9,74,11.8,0.0,24140.0
2024-04-14 08:05:29,22,14,18.8,64,18.6,0.0,24140.0
2024-04-14 08:47:41,22,14,21.6,61,22.7,0.0,24140.0
2024-04-14 11:16:51,22,16,27.6,44,29.7,0.0,24140.0
2024-04-14 14:33:13,22,10,30.9,21,28.7,0.0,24140.0
2024-04-14 21:07:27,22,0,17.0,58,16.4,0.0,24140.0
2024-04-14 23:30:13,22,0,13.8,66,12.8,0.0,24140.0
2024-04-15 00:11:07,22,5,13.7,67,12.7,0.0,24140.0
2024-04-15 03:42:01,22,0,12.6,70,11.7,0.0,24140.0
2024-04-15 04:24:59,22,1,12.7,64,11.7,0.0,24140.0
2024-04-15 04:40:21,22,1,13.4,65,12.3,0.0,24140.0
2024-04-15 05:07:28,22,5,13.4,65,12.4,0.0,24140.0
2024-04-15 05:32:13,22,11,14.1,65,13.4,0.0,24140.0
2024-04-15 06:10:01,22,22,14.8,66,14.0,0.0,24140.0
2024-04-15 06:32:17,22,21,16.6,60,15.6,0.0,24140.0
2024-04-15 07:04:31,22,16,18.2,54,17.1,0.0,24140.0
2024-04-15 07:32:34,22,11,20.6,52,19.6,0.0,24140.0
2024-04-15 08:08:42,22,16,22.4,48,21.5,0.0,24140.0
2024-04-15 08:32:12,22,21,23.9,43,23.4,0.0,24140.0
2024-04-15 09:05:15,22,20,25.0,39,24.6,0.0,24140.0
2024-04-15 09:33:26,22,22,26.1,36,26.2,0.0,24140.0
2024-04-15 10:06:18,22,20,27.0,34,27.3,0.0,24140.0
2024-04-15 10:32:01,22,22,27.4,35,28.8,0.0,24140.0
2024-04-15 11:03:45,22,16,27.8,34,28.1,0.0,24140.0
2024-04-15 11:32:23,22,18,28.0,32,27.4,0.0,24140.0
2024-04-15 12:13:23,22,20,28.2,30,26.6,0.0,24140.0
2024-04-15 12:42:30,22,21,28.1,30,26.1,0.0,24140.0
2024-04-15 13:08:23,22,19,28.0,30,25.5,0.0,24140.0
2024-04-15 13:32:32,22,20,27.4,29,24.6,0.0,24140.0
2024-04-15 14:05:11,22,16,26.9,31,24.2,0.0,24140.0
2024-04-15 14:32:35,22,7,26.0,29,23.0,0.0,24140.0
2024-04-15 15:04:38,22,8,25.2,27,22.0,0.0,24140.0
2024-04-15 15:32:45,22,7,24.4,27,20.9,0.0,24140.0
2024-04-15 16:08:21,22,1,23.6,28,20.1,0.0,24140.0
2024-04-15 16:32:25,22,7,22.8,36,19.5,0.0,24140.0
2024-04-15 17:05:56,22,12,22.2,37,18.7,0.0,24140.0
2024-04-15 17:32:21,22,1,21.6,37,18.4,0.0,24140.0
2024-04-15 18:10:02,22,2,21.3,36,18.2,0.0,24140.0
2024-04-15 18:35:52,22,7,20.8,36,17.8,0.0,24140.0
2024-04-15 19:04:18,22,8,20.5,37,17.7,0.0,24140.0
2024-04-15 19:32:07,22,9,20.6,37,17.1,0.0,24140.0
2024-04-15 20:08:07,22,7,20.5,38,17.4,0.0,24140.0
2024-04-15 20:32:50,22,3,19.3,43,17.4,0.0,24140.0
2024-04-15 21:07:51,22,2,18.1,48,16.3,0.0,24140.0
2024-04-15 21:32:39,22,1,17.1,54,15.5,0.0,24140.0
2024-04-15 22:05:04,22,5,16.4,58,15.0,0.0,24140.0
2024-04-15 22:32:09,22,5,18.0,50,16.4,0.0,24140.0
2024-04-15 23:05:26,22,8,16.5,57,14.8,0.0,24140.0
2024-04-15 23:32:20,22,7,15.1,66,13.5,0.0,24140.0
2024-04-16 00:30:15,22,10,13.0,79,11.8,0.0,24140.0
2024-04-16 01:33:46,22,10,12.7,80,11.6,0.0,24140.0
2024-04-16 02:15:57,22,8,12.5,82,11.8,0.0,24140.0
2024-04-16 02:34:03,22,8,12.3,83,11.4,0.0,24140.0
2024-04-16 03:09:19,22,8,11.9,85,10.8,0.0,11200.0
2024-04-16 03:32:05,22,9,12.1,84,11.1,0.0,11200.0
2024-04-16 04:09:08,22,10,12.4,82,11.5,0.0,11640.0
2024-04-16 04:32:24,22,10,12.9,81,12.3,0.0,11640.0
2024-04-16 05:08:12,22,13,13.3,80,12.5,0.0,10120.0
2024-04-16 05:32:23,22,21,13.2,81,12.3,0.0,10120.0
2024-04-16 06:09:34,22,11,13.1,83,12.1,0.0,18480.0
2024-04-16 06:33:26,22,16,12.8,85,11.5,0.0,18480.0
2024-04-16 07:08:18,22,21,12.5,86,10.7,0.0,7540.0
2024-04-16 07:33:31,22,19,9.9,84,7.3,0.0,7540.0
2024-04-16 08:09:22,22,17,8.1,81,5.2,0.0,6260.0
