date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:19,22,18,15.7,61,14.9,0.0,24140.0
2024-04-13 23:10:11,22,10,15.1,65,14.3,0.0,24140.0
2024-04-13 23:32:30,22,10,14.5,69,13.8,0.0,24140.0
2024-04-14 00:30:34,22,10,13.4,73,12.8,0.0,24140.0
2024-04-14 01:59:41,22,9,12.6,74,11.7,0.0,24140.0
2024-04-14 03:14:31,22,11,13.2,68,12.3,0.0,24140.0
2024-04-14 03:58:55,22,11,12.1,74,11.3,0.0,24140.0
2024-04-14 04:35:41,22,11,11.3,78,10.4,0.0,24140.0
2024-04-14 05:54:37,22,12,12.1,73,11.0,0.0,24140.0
2024-04-14 06:20:35,22,12,13.1,71,12.0,0.0,24140.0
2024-04-14 08:05:35,22,12,18.4,63,18.2,0.0,24140.0
2024-04-14 08:47:45,22,17,21.5,61,22.5,0.0,24140.0
2024-04-14 11:16:56,22,11,27.8,36,28.8,0.0,24140.0
2024-04-14 14:33:18,22,16,30.8,23,29.4,0.0,24140.0
2024-04-14 21:07:33,22,8,17.2,64,16.8,0.0,24140.0
2024-04-14 23:30:20,22,9,15.6,58,14.7,0.0,24140.0
2024-04-15 00:11:10,22,9,15.9,56,15.0,0.0,24140.0
2024-04-15 03:42:07,22,9,12.4,78,11.6,0.0,24140.0
2024-04-15 04:25:06,22,10,12.3,75,11.6,0.0,24140.0
2024-04-15 04:40:25,22,11,12.1,74,11.3,0.0,24140.0
2024-04-15 05:07:33,22,13,12.4,70,11.6,0.0,24140.0
2024-04-15 05:32:17,22,17,13.0,71,12.2,0.0,24140.0
2024-04-15 06:10:07,22,18,13.4,72,12.5,0.0,24140.0
2024-04-15 06:32:24,22,2,15.4,66,14.5,0.0,24140.0
2024-04-15 07:04:35,22,6,17.1,59,16.2,0.0,24140.0
2024-04-15 07:32:38,22,6,20.1,49,18.8,0.0,24140.0
2024-04-15 08:08:47,22,7,22.0,47,21.0,0.0,24140.0
2024-04-15 08:32:18,22,8,23.8,42,23.2,0.0,24140.0
2024-04-15 09:05:21,22,12,25.0,38,24.7,0.0,24140.0
2024-04-15 09:33:31,22,14,26.1,35,26.3,0.0,24140.0
2024-04-15 10:06:22,22,16,26.9,33,27.2,0.0,24140.0
2024-04-15 10:32:05,22,13,26.9,35,28.0,0.0,24140.0
2024-04-15 11:03:51,22,13,27.5,34,28.4,0.0,24140.0
2024-04-15 11:32:29,22,11,27.9,32,27.5,0.0,24140.0
2024-04-15 12:13:28,22,11,28.0,30,26.5,0.0,24140.0
2024-04-15 12:42:35,22,16,28.1,29,26.0,0.0,24140.0
2024-04-15 13:08:30,22,19,28.0,29,25.6,0.0,24140.0
2024-04-15 13:32:38,22,20,27.5,28,24.7,0.0,24140.0
2024-04-15 14:05:17,22,15,27.0,30,24.3,0.0,24140.0
2024-04-15 14:32:42,22,13,26.2,29,23.5,0.0,24140.0
2024-04-15 15:04:42,22,18,25.5,27,22.6,0.0,24140.0
2024-04-15 15:32:51,22,14,24.7,27,21.5,0.0,24140.0
2024-04-15 16:08:25,22,7,24.0,27,20.7,0.0,24140.0
2024-04-15 16:32:29,22,7,23.0,35,20.2,0.0,24140.0
2024-04-15 17:06:00,22,7,22.4,37,19.7,0.0,24140.0
2024-04-15 17:32:27,22,10,21.9,37,19.4,0.0,24140.0
2024-04-15 18:10:07,22,6,21.4,37,19.2,0.0,24140.0
2024-04-15 18:35:56,22,6,21.0,37,18.9,0.0,24140.0
2024-04-15 19:04:24,22,5,20.5,37,18.5,0.0,24140.0
2024-04-15 19:32:14,22,12,20.4,39,18.1,0.0,24140.0
2024-04-15 20:08:12,22,10,20.0,41,17.7,0.0,24140.0
2024-04-15 20:32:55,22,9,19.1,45,17.5,0.0,24140.0
2024-04-15 21:07:55,22,9,18.2,48,16.5,0.0,24140.0
2024-04-15 21:32:45,22,8,17.1,54,15.2,0.0,24140.0
2024-04-15 22:05:11,22,8,16.1,60,14.4,0.0,24140.0
2024-04-15 22:32:14,22,8,17.4,53,15.8,0.0,24140.0
2024-04-15 23:05:30,22,8,15.6,62,13.8,0.0,24140.0
2024-04-15 23:32:25,22,8,14.4,70,12.5,0.0,24140.0
2024-04-16 00:30:21,22,8,12.9,79,10.8,0.0,24140.0
2024-04-16 01:33:50,22,7,13.0,80,11.6,0.0,24140.0
2024-04-16 02:16:04,22,7,12.9,80,11.8,0.0,24140.0
2024-04-16 02:34:09,22,7,12.8,81,11.8,0.0,24140.0
2024-04-16 03:09:24,22,7,12.6,81,11.5,0.0,11200.0
2024-04-16 03:32:09,22,7,12.7,81,11.8,0.0,11200.0
2024-04-16 04:09:12,22,8,12.8,80,12.0,0.0,11640.0
2024-04-16 04:32:30,22,9,13.1,81,12.2,0.0,11640.0
2024-04-16 05:08:16,22,15,13.2,81,12.1,0.0,10120.0
2024-04-16 05:32:28,22,17,13.1,83,12.1,0.0,10120.0
2024-04-16 06:09:39,22,14,12.9,85,11.7,0.0,18480.0
2024-04-16 06:33:31,22,22,12.8,85,11.4,0.0,18480.0
2024-04-16 07:08:24,22,22,12.6,85,11.0,0.0,7540.0
2024-04-16 07:33:36,22,22,9.9,82,7.5,0.0,7540.0
2024-04-16 08:09:26,22,12,8.2,81,5.5,0.0,6260.0
2024-04-16 08:32:18,22,12,7.6,82,4.7,0.0,6260.0
2024-04-16 09:07:53,22,11,7.4,84,4.4,0.0,320.0
2024-04-16 09:32:59,22,11,7.4,82,4.8,0.0,320.0
2024-04-16 10:07:57,22,10,7.6,79,4.3,0.0,60.0
2024-04-16 10:33:11,22,10,7.0,79,3.8,0.0,60.0
2024-04-16 11:04:51,22,9,6.6,81,3.3,0.0,60.0
2024-04-16 11:32:28,22,10,5.6,82,2.3,0.0,60.0
2024-04-16 12:11:54,22,11,4.8,82,1.4,0.0,100.0
2024-04-16 12:46:07,22,13,4.0,84,1.1,0.0,100.0
2024-04-16 13:09:56,22,13,3.8,85,1.1,0.0,80.0
2024-04-16 13:32:21,22,13,3.2,88,0.9,0.2,80.0
2024-04-16 14:08:05,22,13,3.0,88,0.3,0.4,60.0
2024-04-16 14:32:27,22,14,3.5,86,0.7,0.1,60.0
2024-04-16 15:07:25,22,15,4.0,84,1.3,0.1,60.0
2024-04-16 15:32:24,22,15,4.6,82,2.0,0.3,60.0
2024-04-16 16:11:37,22,14,5.0,80,2.4,0.2,100.0
2024-04-16 16:34:31,22,15,3.5,87,0.4,0.2,100.0
2024-04-16 17:05:13,22,15,3.2,88,0.0,0.3,200.0
2024-04-16 17:33:09,22,14,3.3,87,0.2,0.0,240.0
2024-04-16 18:09:07,22,15,3.3,85,0.3,0.0,140.0
2024-04-16 18:32:31,22,14,3.7,84,0.8,0.0,140.0
2024-04-16 19:02:59,22,11,4.0,83,1.1,0.0,320.0
2024-04-16 19:32:11,22,9,4.0,84,1.5,0.0,320.0
2024-04-16 20:07:44,22,10,4.0,84,1.4,0.1,5080.0
2024-04-16 20:32:24,22,10,4.1,84,1.7,0.1,5080.0
2024-04-16 21:05:56,22,8,4.1,84,1.9,0.0,10820.0
2024-04-16 21:32:25,22,9,4.3,83,2.4,0.0,10820.0
2024-04-16 22:05:29,22,9,4.4,82,2.3,0.0,10900.0
2024-04-16 22:33:22,22,9,4.3,85,2.2,0.0,10900.0
2024-04-16 23:08:49,22,9,4.5,86,2.4,0.0,10780.0
2024-04-16 23:32:27,22,9,4.6,85,2.5,0.0,10560.0
2024-04-17 00:30:38,22,9,4.3,85,2.0,0.0,10580.0
2024-04-17 01:34:07,22,11,3.4,91,1.1,0.0,14300.0
2024-04-17 02:17:31,22,16,2.6,95,0.2,0.0,24140.0
2024-04-17 02:38:13,22,16,2.5,95,0.2,0.0,24140.0
2024-04-17 03:07:43,22,18,2.3,95,0.0,0.0,18980.0
2024-04-17 03:32:46,22,19,2.2,96,-0.1,0.0,18980.0
2024-04-17 04:10:21,22,20,2.2,97,-0.1,0.0,24140.0
2024-04-17 04:32:53,22,20,2.0,97,-0.3,0.0,24140.0
2024-04-17 05:07:11,22,22,1.8,97,-0.5,0.0,24140.0
2024-04-17 05:32:34,22,22,2.7,92,0.3,0.0,24140.0
2024-04-17 06:11:06,22,22,3.5,88,1.1,0.0,24140.0
2024-04-17 06:35:50,22,22,5.2,81,3.2,0.0,24140.0
2024-04-17 07:06:45,22,10,6.6,76,4.7,0.0,24140.0
2024-04-17 07:32:32,22,9,6.9,76,4.6,0.0,24140.0
2024-04-17 08:09:34,22,8,7.7,75,5.6,0.0,24140.0
2024-04-17 08:32:28,22,10,9.2,67,7.6,0.0,24140.0
2024-04-17 09:07:15,22,16,10.4,60,8.9,0.0,20360.0
2024-04-17 09:32:17,22,22,11.1,54,9.0,0.0,20360.0
2024-04-17 10:07:39,22,20,11.5,50,9.2,0.0,19600.0
2024-04-17 10:33:29,22,18,11.4,57,9.6,0.0,19600.0
2024-04-17 11:05:31,22,19,11.9,55,10.1,0.0,17880.0
2024-04-17 11:32:49,22,17,12.4,51,10.4,0.0,14980.0
2024-04-17 12:12:25,22,22,12.8,47,10.3,0.0,17880.0
2024-04-17 12:46:08,22,22,13.2,44,10.5,0.0,17880.0
2024-04-17 13:07:26,22,21,13.4,44,9.9,0.0,14620.0
2024-04-17 13:32:20,22,22,13.1,47,9.7,0.0,14620.0
2024-04-17 14:08:33,22,21,12.9,50,9.3,0.0,14340.0
2024-04-17 14:32:16,22,20,12.2,53,9.5,0.0,14340.0
2024-04-17 15:07:37,22,17,11.6,56,9.5,0.0,12320.0
2024-04-17 15:32:40,22,22,10.4,63,8.5,0.0,12320.0
2024-04-17 16:09:00,22,15,9.5,70,6.9,0.0,12480.0
2024-04-17 16:37:45,22,16,10.8,69,9.2,0.0,12480.0
2024-04-17 17:04:34,22,16,9.9,81,7.8,0.0,22980.0
2024-04-17 17:32:17,22,16,9.6,82,8.1,0.0,22980.0
2024-04-17 18:09:32,22,14,9.5,80,8.3,0.0,21300.0
2024-04-17 18:32:44,22,14,9.0,73,7.7,0.0,21300.0
2024-04-17 19:04:11,22,13,8.5,67,6.5,0.0,22040.0
2024-04-17 19:32:10,22,13,8.7,77,6.7,0.0,22040.0
2024-04-17 20:07:57,22,11,8.4,78,6.2,0.0,24140.0
2024-04-17 20:32:49,22,10,8.2,75,6.0,0.0,24140.0
2024-04-17 21:08:14,22,10,8.1,71,5.9,0.0,24140.0
2024-04-17 21:32:28,22,10,8.2,64,5.4,0.0,24140.0
2024-04-17 22:05:09,22,8,8.2,58,5.0,0.0,24140.0
2024-04-17 22:32:25,22,9,7.8,63,4.8,0.0,24140.0
2024-04-17 23:06:42,22,8,7.6,69,4.8,0.0,24140.0
2024-04-17 23:32:29,22,8,7.6,68,4.7,0.0,24140.0
2024-04-18 00:30:15,22,8,7.4,66,5.0,0.0,24140.0
2024-04-18 01:33:51,22,8,6.6,76,4.2,0.0,24140.0
2024-04-18 02:16:16,22,7,5.9,80,3.6,0.0,24140.0
2024-04-18 02:38:16,22,7,5.7,82,3.5,0.0,24140.0
2024-04-18 03:08:05,22,7,5.3,84,3.4,0.0,24140.0
2024-04-18 03:32:19,22,7,5.2,85,3.2,0.0,24140.0
2024-04-18 04:08:49,22,9,5.2,85,3.1,0.0,24140.0
2024-04-18 04:32:28,22,9,5.4,87,3.2,0.0,24140.0
2024-04-18 05:08:19,22,12,5.6,85,3.2,0.0,24140.0
2024-04-18 05:32:19,22,17,6.2,81,3.9,0.0,24140.0
2024-04-18 06:10:00,22,6,6.8,78,4.8,0.0,24140.0
2024-04-18 06:34:11,22,12,7.4,76,5.8,0.0,24140.0
2024-04-18 07:08:19,22,14,7.8,75,6.0,0.0,24140.0
2024-04-18 07:32:16,22,14,8.2,74,6.4,0.0,24140.0
2024-04-18 08:10:22,22,21,8.8,70,7.0,0.0,17880.0
2024-04-18 08:33:20,22,18,9.4,66,7.5,0.0,17880.0
2024-04-18 09:08:14,22,22,10.0,63,7.8,0.0,13560.0
2024-04-18 09:32:20,22,22,10.4,60,7.8,0.0,13560.0
2024-04-18 10:09:55,22,22,10.6,57,7.7,0.0,13960.0
2024-04-18 10:36:33,22,8,10.6,55,8.0,0.0,13960.0
2024-04-18 11:03:49,22,1,11.1,53,8.1,0.0,17680.0
2024-04-18 11:32:22,22,1,9.6,61,6.9,0.0,15460.0
2024-04-18 12:11:37,22,1,8.0,69,5.2,0.0,9380.0
2024-04-18 12:44:57,22,0,8.4,69,5.5,0.0,9380.0
2024-04-18 13:07:18,22,10,9.1,66,6.0,0.0,6780.0
2024-04-18 13:32:17,22,11,9.9,59,7.4,0.0,6780.0
2024-04-18 14:06:03,22,13,10.0,56,7.6,0.0,6840.0
2024-04-18 14:33:40,22,8,10.4,55,8.3,0.0,6840.0
2024-04-18 15:07:56,22,9,10.8,54,8.9,0.0,13360.0
2024-04-18 15:32:08,22,9,10.6,54,8.1,0.0,13360.0
2024-04-18 16:08:32,22,11,10.4,55,7.1,0.0,22980.0
2024-04-18 16:35:29,22,12,10.3,56,7.7,0.0,22980.0
2024-04-18 17:04:49,22,12,10.1,58,7.5,0.0,24140.0
2024-04-18 17:32:07,22,14,9.6,62,7.0,0.0,24140.0
2024-04-18 18:09:05,22,12,9.1,66,6.5,0.0,24140.0
2024-04-18 18:32:54,22,11,8.4,71,6.0,0.0,24140.0
2024-04-18 19:03:42,22,10,7.7,74,5.4,0.0,24140.0
2024-04-18 19:32:35,22,9,7.5,78,5.4,0.0,24140.0
2024-04-18 20:08:06,22,9,7.1,82,5.2,0.0,24140.0
2024-04-18 20:32:27,22,7,7.0,81,5.0,0.0,24140.0
2024-04-18 21:06:29,22,6,6.9,79,4.7,0.0,24140.0
2024-04-18 21:34:12,22,5,6.7,79,4.3,0.0,24140.0
2024-04-18 22:04:22,22,4,6.3,80,4.0,0.0,24140.0
2024-04-18 22:32:21,22,3,5.2,90,3.1,0.0,24140.0
2024-04-18 23:08:29,22,3,5.1,89,3.0,0.0,24140.0
2024-04-18 23:32:19,22,3,4.8,87,2.6,0.0,24140.0
2024-04-19 00:30:50,22,3,4.2,85,1.7,0.0,24140.0
2024-04-19 01:34:57,22,3,3.1,83,0.4,0.0,24140.0
2024-04-19 02:23:33,22,3,2.5,85,-0.3,0.0,24140.0
2024-04-19 02:37:16,22,3,2.5,85,-0.2,0.0,24140.0
2024-04-19 03:07:54,22,3,2.5,84,-0.3,0.0,24140.0
2024-04-19 03:32:20,22,3,2.2,86,-0.6,0.0,24140.0
2024-04-19 04:08:35,22,4,2.0,88,-0.8,0.0,24140.0
2024-04-19 04:32:27,22,4,2.2,85,-0.5,0.0,24140.0
2024-04-19 05:08:18,22,6,2.2,87,-0.5,0.0,24140.0
2024-04-19 05:32:27,22,11,3.2,84,0.9,0.0,24140.0
2024-04-19 06:10:22,22,21,4.3,80,2.3,0.0,24140.0
2024-04-19 06:34:15,22,21,5.7,75,3.6,0.0,24140.0
2024-04-19 07:07:45,22,9,6.7,70,4.5,0.0,24140.0
2024-04-19 07:32:22,22,10,8.1,59,5.4,0.0,24140.0
2024-04-19 08:09:59,22,12,8.9,56,6.4,0.0,24140.0
2024-04-19 08:32:30,22,13,9.7,53,7.7,0.0,24140.0
2024-04-19 09:07:21,22,14,10.2,50,8.5,0.0,24140.0
2024-04-19 09:32:30,22,16,10.9,49,9.1,0.0,24140.0
2024-04-19 10:07:34,22,19,11.2,48,9.5,0.0,24140.0
2024-04-19 10:33:54,22,21,11.6,48,10.0,0.0,24140.0
2024-04-19 11:04:31,22,22,11.9,49,10.4,0.0,24140.0
2024-04-19 11:32:16,22,13,12.1,48,10.1,0.0,24140.0
2024-04-19 12:12:19,22,17,12.3,47,9.8,0.0,24140.0
2024-04-19 12:45:19,22,19,11.9,47,8.6,0.0,24140.0
2024-04-19 13:08:50,22,18,11.9,47,8.2,0.0,24140.0
2024-04-19 13:32:20,22,19,12.8,43,9.3,0.0,24140.0
2024-04-19 14:04:05,22,19,13.2,37,9.4,0.0,24140.0
2024-04-19 14:34:32,22,19,13.1,36,9.0,0.0,24140.0
2024-04-19 15:08:15,22,15,12.9,37,8.5,0.0,24140.0
2024-04-19 15:32:33,22,14,12.8,38,8.6,0.0,24140.0
2024-04-19 16:08:45,22,15,12.6,39,8.8,0.0,24140.0
2024-04-19 16:36:33,22,16,12.1,43,7.8,0.0,24140.0
2024-04-19 17:04:47,22,17,11.7,45,7.4,0.0,24140.0
2024-04-19 17:32:21,22,20,11.0,47,6.9,0.0,24140.0
2024-04-19 18:09:19,22,18,10.4,48,6.6,0.0,24140.0
2024-04-19 18:32:09,22,17,9.9,49,6.5,0.0,24140.0
2024-04-19 19:06:03,22,20,9.4,50,6.4,0.0,24140.0
2024-04-19 20:32:32,22,19,8.9,45,6.0,0.0,24140.0
2024-04-19 21:07:15,22,17,8.6,47,5.6,0.0,24140.0
2024-04-19 21:32:35,22,19,7.8,52,5.0,0.0,24140.0
2024-04-19 22:05:13,22,19,7.2,56,4.6,0.0,24140.0
2024-04-19 22:32:26,22,18,6.4,65,4.2,0.0,24140.0
2024-04-19 23:08:20,22,15,6.2,67,3.9,0.0,24140.0
2024-04-19 23:32:15,22,14,5.7,70,3.6,0.0,24140.0
2024-04-20 00:30:15,22,14,5.2,73,2.9,0.0,24140.0
2024-04-20 01:34:05,22,14,5.7,70,3.2,0.0,24140.0
2024-04-20 02:17:19,22,14,6.8,57,3.5,0.0,24140.0
2024-04-20 02:33:27,22,14,6.8,58,3.5,0.0,24140.0
2024-04-20 03:08:07,22,14,6.7,60,3.5,0.0,24140.0
2024-04-20 03:32:19,22,15,5.9,65,3.1,0.0,24140.0
2024-04-20 04:09:14,22,14,5.2,70,2.4,0.0,24140.0
2024-04-20 04:32:49,22,14,5.4,74,2.7,0.0,24140.0
2024-04-20 05:07:49,22,15,4.8,79,2.2,0.0,24140.0
2024-04-20 05:32:16,22,16,5.8,79,3.5,0.0,24140.0
2024-04-20 06:08:21,22,15,6.9,78,4.9,0.0,24140.0
2024-04-20 06:35:03,22,15,8.4,67,6.1,0.0,24140.0
2024-04-20 07:04:54,22,15,9.6,56,6.8,0.0,24140.0
2024-04-20 07:32:21,22,14,10.4,56,7.8,0.0,24140.0
2024-04-20 08:08:25,22,14,10.9,54,8.2,0.0,24140.0
