date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:27,20,1,15.6,67,15.4,0.0,24140.0
2024-04-13 23:10:13,20,0,14.9,72,14.6,0.0,24140.0
2024-04-13 23:32:34,20,0,14.4,72,14.0,0.0,24140.0
2024-04-14 00:30:38,20,0,13.2,77,12.9,0.0,24140.0
2024-04-14 01:59:44,20,0,12.1,81,11.7,0.0,24140.0
2024-04-14 03:14:33,20,0,11.7,81,11.3,0.0,24140.0
2024-04-14 03:58:57,20,0,11.2,83,10.7,0.0,24140.0
2024-04-14 04:35:43,20,0,10.4,88,9.8,0.0,24140.0
2024-04-14 05:54:39,20,1,11.4,87,11.1,0.0,24140.0
2024-04-14 06:20:38,20,1,12.6,84,12.4,0.0,24140.0
2024-04-14 08:05:39,20,6,19.3,69,19.7,0.0,24140.0
2024-04-14 08:47:47,20,5,21.9,61,23.0,0.0,24140.0
2024-04-14 11:16:58,20,8,27.9,37,28.6,0.0,24140.0
2024-04-14 14:33:22,20,9,30.5,26,28.4,0.0,24140.0
2024-04-14 21:07:37,20,0,17.4,63,17.0,0.0,24140.0
2024-04-14 23:30:23,20,0,14.9,68,14.6,0.0,24140.0
2024-04-15 00:11:13,20,0,14.6,71,14.3,0.0,24140.0
2024-04-15 03:42:10,20,0,12.2,77,11.5,0.0,24140.0
2024-04-15 04:25:09,20,1,12.1,76,11.5,0.0,24140.0
2024-04-15 04:40:27,20,1,11.9,79,11.3,0.0,24140.0
2024-04-15 05:07:35,20,3,12.0,79,11.3,0.0,24140.0
2024-04-15 05:32:19,20,3,12.9,77,12.3,0.0,24140.0
2024-04-15 06:10:11,20,4,13.8,75,13.3,0.0,24140.0
2024-04-15 06:32:27,20,4,16.1,68,15.6,0.0,24140.0
2024-04-15 07:04:37,20,4,18.2,62,17.6,0.0,24140.0
2024-04-15 07:32:41,20,5,20.3,53,19.3,0.0,24140.0
2024-04-15 08:08:50,20,6,22.1,46,20.8,0.0,24140.0
2024-04-15 08:32:21,20,8,23.9,42,23.2,0.0,24140.0
2024-04-15 09:05:25,20,9,25.1,39,25.1,0.0,24140.0
2024-04-15 09:33:34,20,8,26.2,37,26.1,0.0,24140.0
2024-04-15 10:06:25,20,7,27.0,35,26.4,0.0,24140.0
2024-04-15 10:32:07,20,6,27.0,34,27.0,0.0,24140.0
2024-04-15 11:03:54,20,7,27.6,33,27.1,0.0,24140.0
2024-04-15 11:32:32,20,8,27.7,33,26.3,0.0,24140.0
2024-04-15 12:13:32,20,4,27.7,33,25.8,0.0,24140.0
2024-04-15 12:42:37,20,2,27.8,32,25.5,0.0,24140.0
2024-04-15 13:08:33,20,8,27.9,31,25.1,0.0,24140.0
2024-04-15 13:32:42,20,7,27.4,30,24.4,0.0,24140.0
2024-04-15 14:05:21,20,3,27.1,31,24.2,0.0,24140.0
2024-04-15 14:32:45,20,1,26.1,30,23.0,0.0,24140.0
2024-04-15 15:04:45,20,12,25.2,29,21.9,0.0,24140.0
2024-04-15 15:32:55,20,11,24.4,29,20.8,0.0,24140.0
2024-04-15 16:08:28,20,9,23.7,29,19.9,0.0,24140.0
2024-04-15 16:32:31,20,8,22.8,37,19.2,0.0,24140.0
2024-04-15 17:06:02,20,8,22.2,39,18.6,0.0,24140.0
2024-04-15 17:32:31,20,7,21.5,40,18.3,0.0,24140.0
2024-04-15 18:10:09,20,9,21.1,41,18.3,0.0,24140.0
2024-04-15 18:35:59,20,8,20.6,40,17.9,0.0,24140.0
2024-04-15 19:04:28,20,6,20.3,38,17.6,0.0,24140.0
2024-04-15 19:32:18,20,7,20.0,40,18.4,0.0,24140.0
2024-04-15 20:08:14,20,8,19.6,43,18.3,0.0,24140.0
2024-04-15 20:32:57,20,8,18.2,49,17.0,0.0,24140.0
2024-04-15 21:07:57,20,8,17.0,54,15.8,0.0,24140.0
2024-04-15 21:32:48,20,8,16.2,58,14.9,0.0,24140.0
2024-04-15 22:05:14,20,7,15.9,61,14.4,0.0,24140.0
2024-04-15 22:32:16,20,7,17.4,53,16.5,0.0,24140.0
2024-04-15 23:05:32,20,7,15.5,62,14.2,0.0,24140.0
2024-04-15 23:32:27,20,7,14.2,71,12.3,0.0,24140.0
2024-04-16 00:30:24,20,7,12.8,80,10.3,0.0,24140.0
2024-04-16 01:33:53,20,6,12.9,81,11.0,0.0,24140.0
2024-04-16 02:16:07,20,6,12.9,81,11.4,0.0,24140.0
2024-04-16 02:34:12,20,6,12.9,81,11.5,0.0,24140.0
2024-04-16 03:09:26,20,6,12.9,81,11.6,0.0,11200.0
2024-04-16 03:32:11,20,6,12.9,81,11.9,0.0,11200.0
2024-04-16 04:09:15,20,4,13.0,81,12.1,0.0,11640.0
2024-04-16 04:32:33,20,5,13.2,80,11.9,0.0,11640.0
2024-04-16 05:08:18,20,7,13.2,82,12.0,0.0,10120.0
2024-04-16 05:32:30,20,8,13.1,85,12.1,0.0,10120.0
2024-04-16 06:09:41,20,12,12.9,87,11.5,0.0,18480.0
2024-04-16 06:33:33,20,13,12.7,86,11.2,0.0,18480.0
2024-04-16 07:08:28,20,14,12.6,85,10.9,0.0,7540.0
2024-04-16 07:33:38,20,14,9.8,82,7.2,0.0,7540.0
2024-04-16 08:09:28,20,14,8.2,82,5.4,0.0,6260.0
2024-04-16 08:32:21,20,14,7.6,83,4.5,0.0,6260.0
2024-04-16 09:07:57,20,14,7.4,85,4.1,0.0,320.0
2024-04-16 09:33:03,20,14,7.3,85,4.3,0.0,320.0
2024-04-16 10:07:59,20,14,7.4,85,4.5,0.0,60.0
2024-04-16 10:33:13,20,14,6.3,80,2.7,0.0,60.0
2024-04-16 11:04:53,20,13,5.2,83,1.2,0.0,60.0
2024-04-16 11:32:30,20,13,4.8,83,0.9,0.0,60.0
2024-04-16 12:11:57,20,13,4.8,83,1.1,0.0,100.0
2024-04-16 12:46:10,20,13,4.3,85,1.3,0.0,100.0
2024-04-16 13:09:59,20,13,4.2,85,1.4,0.0,80.0
2024-04-16 13:32:24,20,13,3.5,88,1.1,0.3,80.0
2024-04-16 14:08:07,20,13,3.7,87,1.3,0.3,60.0
2024-04-16 14:32:29,20,13,3.7,86,1.2,0.4,60.0
2024-04-16 15:07:28,20,13,3.8,86,1.1,0.4,60.0
2024-04-16 15:32:27,20,11,4.2,84,1.9,0.2,60.0
2024-04-16 16:11:40,20,11,4.7,83,2.5,0.3,100.0
2024-04-16 16:34:34,20,11,3.3,89,0.2,0.2,100.0
2024-04-16 17:05:15,20,10,3.2,89,-0.3,0.6,200.0
2024-04-16 17:33:11,20,10,3.2,88,-0.5,0.2,240.0
2024-04-16 18:09:10,20,10,3.2,87,-0.4,0.0,140.0
2024-04-16 18:32:34,20,11,3.5,86,-0.0,0.0,140.0
2024-04-16 19:03:03,20,11,3.9,85,0.4,0.0,320.0
2024-04-16 19:32:13,20,11,3.8,85,0.9,0.0,320.0
2024-04-16 20:07:46,20,12,4.0,85,1.0,0.1,5080.0
2024-04-16 20:32:27,20,12,4.0,84,1.2,0.1,5080.0
2024-04-16 21:05:59,20,12,4.1,84,1.4,0.0,10820.0
2024-04-16 21:32:28,20,13,4.2,84,1.9,0.0,10820.0
2024-04-16 22:05:32,20,13,4.3,84,2.3,0.0,10900.0
2024-04-16 22:33:24,20,13,4.2,84,2.0,0.0,10900.0
2024-04-16 23:08:52,20,13,4.4,84,2.1,0.0,10780.0
2024-04-16 23:32:31,20,13,4.2,86,1.9,0.0,10560.0
2024-04-17 00:30:40,20,13,3.7,89,1.3,0.0,10580.0
2024-04-17 01:34:09,20,13,2.8,94,0.3,0.0,14300.0
2024-04-17 02:17:33,20,13,2.3,94,-0.0,0.0,24140.0
2024-04-17 02:38:16,20,13,2.2,95,-0.1,0.0,24140.0
2024-04-17 03:07:45,20,13,2.1,96,-0.3,0.0,18980.0
2024-04-17 03:32:49,20,13,2.0,96,-0.5,0.0,18980.0
2024-04-17 04:10:24,20,10,1.9,96,-0.5,0.0,24140.0
2024-04-17 04:32:56,20,9,1.5,100,-0.7,0.0,24140.0
2024-04-17 05:07:13,20,9,1.3,100,-0.8,0.0,24140.0
2024-04-17 05:32:37,20,9,1.9,99,-0.2,0.0,24140.0
2024-04-17 06:11:09,20,10,2.5,97,0.2,0.0,24140.0
2024-04-17 06:35:52,20,12,4.1,89,2.1,0.0,24140.0
2024-04-17 07:06:48,20,13,5.7,81,3.8,0.0,24140.0
2024-04-17 07:32:36,20,13,6.7,80,4.3,0.0,24140.0
2024-04-17 08:09:37,20,14,7.7,77,5.5,0.0,24140.0
2024-04-17 08:32:31,20,14,9.1,70,7.4,0.0,24140.0
2024-04-17 09:07:17,20,14,10.4,64,8.9,0.0,20360.0
2024-04-17 09:32:20,20,15,11.1,58,9.2,0.0,20360.0
2024-04-17 10:07:42,20,14,11.6,54,9.6,0.0,19600.0
2024-04-17 10:33:33,20,14,11.6,54,9.9,0.0,19600.0
2024-04-17 11:05:34,20,13,12.1,52,10.6,0.0,17880.0
2024-04-17 11:32:53,20,10,12.6,49,10.9,0.0,14980.0
2024-04-17 12:12:29,20,10,13.1,47,10.7,0.0,17880.0
2024-04-17 12:46:12,20,10,13.0,51,10.1,0.0,17880.0
2024-04-17 13:07:28,20,6,13.0,52,9.6,0.0,14620.0
2024-04-17 13:32:22,20,2,12.6,52,8.7,0.0,14620.0
2024-04-17 14:08:36,20,0,11.9,60,7.2,0.0,14340.0
2024-04-17 14:32:18,20,11,11.5,60,8.4,0.0,14340.0
2024-04-17 15:07:39,20,10,11.4,58,9.4,0.0,12320.0
2024-04-17 15:32:42,20,6,10.3,63,8.4,0.0,12320.0
2024-04-17 16:09:02,20,8,9.4,69,7.1,0.0,12480.0
2024-04-17 16:37:48,20,7,10.8,72,8.5,0.0,12480.0
2024-04-17 17:04:37,20,5,9.9,82,8.2,0.0,22980.0
2024-04-17 17:32:19,20,5,9.6,84,8.1,0.0,22980.0
2024-04-17 18:09:34,20,5,9.4,84,8.1,0.0,21300.0
2024-04-17 18:32:46,20,6,8.9,76,7.2,0.0,21300.0
2024-04-17 19:04:15,20,6,8.4,68,6.5,0.0,22040.0
2024-04-17 19:32:12,20,7,9.0,76,7.2,0.0,22040.0
2024-04-17 20:08:00,20,6,8.6,80,6.8,0.0,24140.0
2024-04-17 20:32:51,20,6,8.6,73,6.3,0.0,24140.0
2024-04-17 21:08:16,20,6,8.6,65,6.0,0.0,24140.0
2024-04-17 21:32:30,20,6,8.4,61,5.5,0.0,24140.0
2024-04-17 22:05:11,20,5,8.4,58,5.2,0.0,24140.0
2024-04-17 22:32:28,20,5,8.2,62,5.5,0.0,24140.0
2024-04-17 23:06:46,20,3,8.1,64,5.4,0.0,24140.0
2024-04-17 23:32:31,20,3,8.0,65,5.4,0.0,24140.0
2024-04-18 00:30:17,20,3,7.7,65,5.2,0.0,24140.0
2024-04-18 01:33:54,20,3,6.9,76,4.9,0.0,24140.0
2024-04-18 02:16:18,20,3,6.7,77,4.7,0.0,24140.0
2024-04-18 02:38:18,20,3,6.6,78,4.7,0.0,24140.0
2024-04-18 03:08:07,20,3,6.6,79,4.8,0.0,24140.0
2024-04-18 03:32:21,20,3,6.2,81,4.4,0.0,24140.0
2024-04-18 04:08:51,20,0,5.9,83,4.1,0.0,24140.0
2024-04-18 04:32:31,20,0,5.9,86,4.0,0.0,24140.0
2024-04-18 05:08:22,20,3,6.0,84,3.8,0.0,24140.0
2024-04-18 05:32:22,20,4,6.4,82,4.7,0.0,24140.0
2024-04-18 06:10:02,20,4,6.9,81,5.2,0.0,24140.0
2024-04-18 06:34:13,20,7,7.5,79,5.8,0.0,24140.0
2024-04-18 07:08:22,20,7,7.9,78,6.4,0.0,24140.0
2024-04-18 07:32:18,20,7,8.4,77,6.8,0.0,24140.0
2024-04-18 08:10:24,20,6,8.9,72,7.4,0.0,17880.0
2024-04-18 08:33:23,20,6,9.6,69,7.8,0.0,17880.0
2024-04-18 09:08:16,20,7,10.1,67,8.0,0.0,13560.0
2024-04-18 09:32:23,20,7,10.4,64,8.1,0.0,13560.0
2024-04-18 10:09:58,20,14,10.6,61,8.0,0.0,13960.0
2024-04-18 10:36:35,20,14,10.5,59,8.0,0.0,13960.0
2024-04-18 11:03:52,20,13,11.1,54,8.5,0.0,17680.0
2024-04-18 11:32:24,20,13,9.7,61,6.8,0.0,15460.0
2024-04-18 12:11:39,20,13,8.3,69,4.9,0.0,9380.0
2024-04-18 12:45:00,20,13,9.2,67,5.8,0.0,9380.0
2024-04-18 13:07:22,20,14,9.6,66,6.2,0.0,6780.0
2024-04-18 13:32:20,20,15,10.0,58,7.0,0.0,6780.0
2024-04-18 14:06:05,20,15,10.1,56,7.5,0.0,6840.0
2024-04-18 14:33:43,20,15,10.4,56,8.4,0.0,6840.0
2024-04-18 15:07:59,20,17,10.9,56,8.9,0.0,13360.0
2024-04-18 15:32:10,20,17,10.7,57,8.0,0.0,13360.0
2024-04-18 16:08:36,20,15,10.4,58,7.0,0.0,22980.0
2024-04-18 16:35:33,20,15,10.5,54,7.8,0.0,22980.0
2024-04-18 17:04:52,20,15,10.4,56,7.8,0.0,24140.0
2024-04-18 17:32:09,20,15,9.9,60,7.5,0.0,24140.0
2024-04-18 18:09:08,20,14,9.6,64,7.2,0.0,24140.0
2024-04-18 18:32:56,20,13,8.8,70,6.6,0.0,24140.0
2024-04-18 19:03:44,20,13,8.2,75,6.1,0.0,24140.0
2024-04-18 19:32:39,20,13,8.1,74,6.0,0.0,24140.0
2024-04-18 20:08:09,20,14,7.8,78,5.8,0.0,24140.0
2024-04-18 20:32:31,20,14,7.6,80,5.5,0.0,24140.0
2024-04-18 21:06:32,20,14,7.3,80,5.2,0.0,24140.0
2024-04-18 21:34:15,20,12,7.1,78,4.8,0.0,24140.0
2024-04-18 22:04:26,20,12,7.0,75,4.5,0.0,24140.0
2024-04-18 22:32:23,20,11,5.8,87,3.6,0.0,24140.0
2024-04-18 23:08:33,20,10,5.8,86,3.6,0.0,24140.0
2024-04-18 23:32:23,20,10,5.5,86,3.3,0.0,24140.0
2024-04-19 00:30:53,20,10,4.9,87,2.7,0.0,24140.0
2024-04-19 01:35:01,20,10,3.5,81,1.0,0.0,24140.0
2024-04-19 02:23:35,20,10,3.0,82,0.4,0.0,24140.0
2024-04-19 02:37:18,20,10,2.9,83,0.3,0.0,24140.0
2024-04-19 03:07:57,20,10,2.8,84,0.2,0.0,24140.0
2024-04-19 03:32:23,20,10,2.7,85,0.2,0.0,24140.0
2024-04-19 04:08:37,20,7,2.7,85,0.3,0.0,24140.0
2024-04-19 04:32:29,20,7,2.6,84,0.2,0.0,24140.0
2024-04-19 05:08:20,20,8,2.7,84,0.5,0.0,24140.0
2024-04-19 05:32:29,20,7,3.2,84,1.1,0.0,24140.0
2024-04-19 06:10:24,20,7,3.8,84,1.6,0.0,24140.0
2024-04-19 06:34:17,20,8,5.2,78,3.0,0.0,24140.0
2024-04-19 07:07:49,20,8,6.7,71,4.4,0.0,24140.0
2024-04-19 07:32:24,20,8,7.9,65,5.3,0.0,24140.0
2024-04-19 08:10:02,20,8,8.9,58,6.5,0.0,24140.0
2024-04-19 08:32:32,20,7,9.7,55,7.8,0.0,24140.0
2024-04-19 09:07:24,20,7,10.3,53,8.7,0.0,24140.0
2024-04-19 09:32:33,20,6,10.9,50,9.7,0.0,24140.0
2024-04-19 10:07:36,20,5,11.4,48,10.4,0.0,24140.0
