date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:09,20,18,15.7,61,14.9,0.0,24140.0
2024-04-13 23:10:08,20,18,15.1,65,14.4,0.0,24140.0
2024-04-13 23:32:25,20,18,14.5,69,13.8,0.0,24140.0
2024-04-14 00:30:28,20,17,13.4,73,12.8,0.0,24140.0
2024-04-14 01:59:37,20,17,12.6,74,11.7,0.0,24140.0
2024-04-14 03:14:27,20,17,13.2,68,12.4,0.0,24140.0
2024-04-14 03:58:51,20,17,12.1,74,11.4,0.0,24140.0
2024-04-14 04:35:38,20,17,11.4,78,10.4,0.0,24140.0
2024-04-14 05:54:33,20,13,12.1,73,11.0,0.0,24140.0
2024-04-14 06:20:31,20,13,13.1,71,12.0,0.0,24140.0
2024-04-14 08:05:30,20,14,18.5,63,18.2,0.0,24140.0
2024-04-14 08:47:41,20,17,21.5,61,22.6,0.0,24140.0
2024-04-14 11:16:51,20,17,27.8,36,28.8,0.0,24140.0
2024-04-14 14:33:13,20,15,30.8,23,29.4,0.0,24140.0
2024-04-14 21:07:27,20,1,17.3,64,16.9,0.0,24140.0
2024-04-14 23:30:14,20,0,15.7,58,14.8,0.0,24140.0
2024-04-15 00:11:07,20,0,15.9,56,15.1,0.0,24140.0
2024-04-15 03:42:01,20,1,12.4,78,11.7,0.0,24140.0
2024-04-15 04:25:00,20,3,12.4,75,11.6,0.0,24140.0
2024-04-15 04:40:21,20,6,12.1,74,11.4,0.0,24140.0
2024-04-15 05:07:29,20,9,12.5,70,11.7,0.0,24140.0
2024-04-15 05:32:14,20,11,13.0,71,12.2,0.0,24140.0
2024-04-15 06:10:01,20,19,13.4,72,12.6,0.0,24140.0
2024-04-15 06:32:18,20,20,15.4,66,14.5,0.0,24140.0
2024-04-15 07:04:32,20,16,17.2,59,16.2,0.0,24140.0
2024-04-15 07:32:34,20,15,20.1,49,18.8,0.0,24140.0
2024-04-15 08:08:43,20,4,22.0,47,21.0,0.0,24140.0
2024-04-15 08:32:12,20,0,23.8,42,23.2,0.0,24140.0
2024-04-15 09:05:15,20,5,25.0,38,24.8,0.0,24140.0
2024-04-15 09:33:27,20,9,26.1,35,26.3,0.0,24140.0
2024-04-15 10:06:18,20,6,27.0,33,27.3,0.0,24140.0
2024-04-15 10:32:01,20,5,26.9,35,28.0,0.0,24140.0
2024-04-15 11:03:46,20,0,27.5,34,28.5,0.0,24140.0
2024-04-15 11:32:24,20,5,27.9,32,27.5,0.0,24140.0
2024-04-15 12:13:23,20,1,28.1,30,26.6,0.0,24140.0
