date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:14,20,15,15.4,67,15.2,0.0,24140.0
2024-04-13 23:10:09,20,15,14.8,72,14.4,0.0,24140.0
2024-04-13 23:32:28,20,15,14.2,72,13.8,0.0,24140.0
2024-04-14 00:30:31,20,15,13.1,77,12.7,0.0,24140.0
2024-04-14 01:59:39,20,15,11.9,81,11.5,0.0,24140.0
2024-04-14 03:14:29,20,15,11.5,81,11.0,0.0,24140.0
2024-04-14 03:58:53,20,15,11.0,83,10.5,0.0,24140.0
2024-04-14 04:35:39,20,15,10.2,88,9.6,0.0,24140.0
2024-04-14 05:54:35,20,15,11.2,87,10.9,0.0,24140.0
2024-04-14 06:20:33,20,15,12.4,84,12.2,0.0,24140.0
2024-04-14 08:05:33,20,15,19.1,69,19.4,0.0,24140.0
2024-04-14 08:47:43,20,15,21.8,61,22.8,0.0,24140.0
2024-04-14 11:16:54,20,15,27.7,37,28.4,0.0,24140.0
2024-04-14 14:33:16,20,15,30.3,26,28.2,0.0,24140.0
2024-04-14 21:07:30,20,15,17.1,63,16.8,0.0,24140.0
2024-04-14 23:30:17,20,15,14.8,68,14.4,0.0,24140.0
2024-04-15 00:11:09,20,15,14.4,71,14.0,0.0,24140.0
2024-04-15 03:42:04,20,15,12.1,77,11.3,0.0,24140.0
2024-04-15 04:25:03,20,15,12.0,76,11.3,0.0,24140.0
2024-04-15 04:40:23,20,15,11.8,79,11.1,0.0,24140.0
2024-04-15 05:07:31,20,15,11.8,79,11.1,0.0,24140.0
2024-04-15 05:32:15,20,13,12.7,77,12.1,0.0,24140.0
2024-04-15 06:10:04,20,13,13.6,75,13.1,0.0,24140.0
2024-04-15 06:32:21,20,14,15.9,68,15.4,0.0,24140.0
2024-04-15 07:04:33,20,14,18.0,62,17.4,0.0,24140.0
2024-04-15 07:32:36,20,11,20.1,53,19.1,0.0,24140.0
2024-04-15 08:08:45,20,14,21.9,46,20.5,0.0,24140.0
2024-04-15 08:32:15,20,14,23.7,42,23.0,0.0,24140.0
2024-04-15 09:05:18,20,14,25.0,39,24.8,0.0,24140.0
2024-04-15 09:33:29,20,16,26.0,37,25.9,0.0,24140.0
2024-04-15 10:06:20,20,16,26.8,35,26.2,0.0,24140.0
2024-04-15 10:32:03,20,16,26.8,34,26.8,0.0,24140.0
2024-04-15 11:03:49,20,16,27.4,33,26.9,0.0,24140.0
2024-04-15 11:32:26,20,16,27.5,33,26.1,0.0,24140.0
2024-04-15 12:13:26,20,16,27.5,33,25.5,0.0,24140.0
2024-04-15 12:42:33,20,16,27.6,32,25.2,0.0,24140.0
2024-04-15 13:08:27,20,16,27.7,31,24.8,0.0,24140.0
2024-04-15 13:32:35,20,15,27.2,30,24.2,0.0,24140.0
2024-04-15 14:05:14,20,14,26.9,31,24.0,0.0,24140.0
2024-04-15 14:32:39,20,11,26.0,30,22.8,0.0,24140.0
2024-04-15 15:04:41,20,8,25.0,29,21.6,0.0,24140.0
2024-04-15 15:32:49,20,8,24.1,29,20.6,0.0,24140.0
2024-04-15 16:08:23,20,3,23.5,29,19.7,0.0,24140.0
2024-04-15 16:32:27,20,4,22.5,37,19.0,0.0,24140.0
2024-04-15 17:05:58,20,2,22.0,39,18.4,0.0,24140.0
2024-04-15 17:32:25,20,2,21.4,40,18.1,0.0,24140.0
2024-04-15 18:10:05,20,2,20.9,41,18.0,0.0,24140.0
2024-04-15 18:35:54,20,0,20.5,40,17.7,0.0,24140.0
2024-04-15 19:04:21,20,2,20.1,38,17.4,0.0,24140.0
2024-04-15 19:32:11,20,2,19.8,40,18.2,0.0,24140.0
2024-04-15 20:08:09,20,2,19.5,43,18.0,0.0,24140.0
2024-04-15 20:32:52,20,2,18.1,49,16.8,0.0,24140.0
2024-04-15 21:07:53,20,2,16.8,54,15.5,0.0,24140.0
2024-04-15 21:32:42,20,2,16.0,58,14.7,0.0,24140.0
2024-04-15 22:05:08,20,2,15.6,61,14.1,0.0,24140.0
2024-04-15 22:32:12,20,2,17.2,53,16.3,0.0,24140.0
2024-04-15 23:05:29,20,2,15.3,62,14.0,0.0,24140.0
2024-04-15 23:32:22,20,2,14.0,71,12.1,0.0,24140.0
