date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:20,16,14,15.6,61,14.9,0.0,24140.0
2024-04-13 23:10:12,16,14,15.1,65,14.3,0.0,24140.0
2024-04-13 23:32:31,16,14,14.4,69,13.8,0.0,24140.0
2024-04-14 00:30:35,16,14,13.4,73,12.7,0.0,24140.0
2024-04-14 01:59:41,16,15,12.5,74,11.7,0.0,24140.0
2024-04-14 03:14:31,16,14,13.2,68,12.3,0.0,24140.0
2024-04-14 03:58:55,16,14,12.1,74,11.3,0.0,24140.0
2024-04-14 04:35:41,16,14,11.2,78,10.3,0.0,24140.0
2024-04-14 05:54:37,16,15,12.1,73,10.9,0.0,24140.0
2024-04-14 06:20:36,16,16,13.1,71,12.0,0.0,24140.0
2024-04-14 08:05:36,16,16,18.4,63,18.2,0.0,24140.0
2024-04-14 08:47:45,16,15,21.5,61,22.5,0.0,24140.0
2024-04-14 11:16:56,16,15,27.8,36,28.7,0.0,24140.0
2024-04-14 14:33:19,16,10,30.8,23,29.4,0.0,24140.0
2024-04-14 21:07:34,16,12,17.2,64,16.8,0.0,24140.0
2024-04-14 23:30:20,16,14,15.6,58,14.7,0.0,24140.0
2024-04-15 00:11:11,16,14,15.9,56,15.0,0.0,24140.0
2024-04-15 03:42:07,16,15,12.4,78,11.6,0.0,24140.0
2024-04-15 04:25:06,16,15,12.3,75,11.6,0.0,24140.0
2024-04-15 04:40:25,16,16,12.1,74,11.3,0.0,24140.0
2024-04-15 05:07:33,16,16,12.4,70,11.6,0.0,24140.0
2024-04-15 05:32:18,16,16,12.9,71,12.1,0.0,24140.0
2024-04-15 06:10:08,16,16,13.4,72,12.5,0.0,24140.0
2024-04-15 06:32:24,16,15,15.4,66,14.5,0.0,24140.0
2024-04-15 07:04:35,16,16,17.1,59,16.2,0.0,24140.0
2024-04-15 07:32:39,16,16,20.0,49,18.8,0.0,24140.0
2024-04-15 08:08:48,16,16,22.0,47,21.0,0.0,24140.0
2024-04-15 08:32:18,16,14,23.7,42,23.2,0.0,24140.0
2024-04-15 09:05:22,16,15,25.0,38,24.7,0.0,24140.0
2024-04-15 09:33:31,16,16,26.1,35,26.2,0.0,24140.0
2024-04-15 10:06:23,16,14,26.9,33,27.2,0.0,24140.0
2024-04-15 10:32:05,16,15,26.8,35,28.0,0.0,24140.0
2024-04-15 11:03:52,16,16,27.5,34,28.4,0.0,24140.0
2024-04-15 11:32:30,16,16,27.9,32,27.5,0.0,24140.0
2024-04-15 12:13:29,16,12,28.0,30,26.5,0.0,24140.0
2024-04-15 12:42:35,16,12,28.1,29,26.0,0.0,24140.0
2024-04-15 13:08:30,16,8,28.0,29,25.6,0.0,24140.0
2024-04-15 13:32:39,16,11,27.5,28,24.7,0.0,24140.0
2024-04-15 14:05:18,16,13,27.0,30,24.3,0.0,24140.0
2024-04-15 14:32:42,16,9,26.2,29,23.4,0.0,24140.0
2024-04-15 15:04:43,16,14,25.5,27,22.6,0.0,24140.0
2024-04-15 15:32:52,16,12,24.6,27,21.5,0.0,24140.0
2024-04-15 16:08:26,16,8,24.0,27,20.7,0.0,24140.0
2024-04-15 16:32:29,16,7,23.0,35,20.2,0.0,24140.0
2024-04-15 17:06:00,16,13,22.4,37,19.7,0.0,24140.0
2024-04-15 17:32:28,16,14,21.8,37,19.3,0.0,24140.0
2024-04-15 18:10:07,16,15,21.4,37,19.2,0.0,24140.0
2024-04-15 18:35:57,16,15,20.9,37,18.8,0.0,24140.0
2024-04-15 19:04:25,16,16,20.5,37,18.5,0.0,24140.0
2024-04-15 19:32:15,16,10,20.4,39,18.1,0.0,24140.0
2024-04-15 20:08:12,16,13,20.0,41,17.7,0.0,24140.0
2024-04-15 20:32:55,16,12,19.0,45,17.5,0.0,24140.0
2024-04-15 21:07:55,16,9,18.2,48,16.5,0.0,24140.0
2024-04-15 21:32:46,16,10,17.1,54,15.2,0.0,24140.0
2024-04-15 22:05:11,16,9,16.1,60,14.4,0.0,24140.0
2024-04-15 22:32:14,16,9,17.4,53,15.8,0.0,24140.0
2024-04-15 23:05:31,16,9,15.6,62,13.8,0.0,24140.0
2024-04-15 23:32:25,16,9,14.3,70,12.4,0.0,24140.0
2024-04-16 00:30:21,16,8,12.9,79,10.8,0.0,24140.0
2024-04-16 01:33:51,16,8,12.9,80,11.5,0.0,24140.0
2024-04-16 02:16:04,16,8,12.9,80,11.8,0.0,24140.0
2024-04-16 02:34:10,16,8,12.8,81,11.8,0.0,24140.0
2024-04-16 03:09:24,16,8,12.6,81,11.5,0.0,11200.0
2024-04-16 03:32:09,16,8,12.7,81,11.8,0.0,11200.0
2024-04-16 04:09:13,16,9,12.8,80,12.0,0.0,11640.0
2024-04-16 04:32:31,16,9,13.1,81,12.2,0.0,11640.0
2024-04-16 05:08:17,16,7,13.2,81,12.1,0.0,10120.0
2024-04-16 05:32:28,16,6,13.1,83,12.1,0.0,10120.0
2024-04-16 06:09:39,16,6,12.9,85,11.7,0.0,18480.0
2024-04-16 06:33:31,16,9,12.8,85,11.4,0.0,18480.0
2024-04-16 07:08:25,16,10,12.6,85,11.0,0.0,7540.0
2024-04-16 07:33:36,16,10,9.9,82,7.5,0.0,7540.0
2024-04-16 08:09:26,16,11,8.2,81,5.5,0.0,6260.0
2024-04-16 08:32:18,16,11,7.6,82,4.7,0.0,6260.0
2024-04-16 09:07:54,16,11,7.4,84,4.4,0.0,320.0
2024-04-16 09:33:00,16,11,7.4,82,4.7,0.0,320.0
2024-04-16 10:07:57,16,11,7.6,79,4.3,0.0,60.0
2024-04-16 10:33:11,16,11,7.0,79,3.8,0.0,60.0
2024-04-16 11:04:51,16,11,6.6,81,3.3,0.0,60.0
2024-04-16 11:32:28,16,11,5.6,82,2.3,0.0,60.0
2024-04-16 12:11:55,16,11,4.8,82,1.4,0.0,100.0
2024-04-16 12:46:08,16,11,3.9,84,1.1,0.0,100.0
2024-04-16 13:09:56,16,11,3.8,85,1.1,0.0,80.0
2024-04-16 13:32:21,16,10,3.2,88,0.9,0.2,80.0
2024-04-16 14:08:05,16,10,3.0,88,0.3,0.4,60.0
2024-04-16 14:32:27,16,10,3.5,86,0.7,0.1,60.0
2024-04-16 15:07:25,16,11,4.0,84,1.3,0.1,60.0
2024-04-16 15:32:25,16,12,4.6,82,2.0,0.3,60.0
2024-04-16 16:11:38,16,12,5.0,80,2.4,0.2,100.0
2024-04-16 16:34:32,16,13,3.5,87,0.4,0.2,100.0
2024-04-16 17:05:13,16,16,3.2,88,0.0,0.3,200.0
2024-04-16 17:33:09,16,15,3.2,87,0.1,0.0,240.0
2024-04-16 18:09:07,16,16,3.3,85,0.3,0.0,140.0
2024-04-16 18:32:31,16,16,3.7,84,0.8,0.0,140.0
2024-04-16 19:03:00,16,14,4.0,83,1.1,0.0,320.0
