date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:21,20,3,15.5,67,15.2,0.0,24140.0
2024-04-13 23:10:12,20,4,14.8,72,14.4,0.0,24140.0
2024-04-13 23:32:31,20,4,14.3,72,13.9,0.0,24140.0
2024-04-14 00:30:35,20,4,13.1,77,12.7,0.0,24140.0
2024-04-14 01:59:42,20,4,11.9,81,11.5,0.0,24140.0
2024-04-14 03:14:32,20,4,11.6,81,11.1,0.0,24140.0
2024-04-14 03:58:55,20,4,11.1,83,10.5,0.0,24140.0
2024-04-14 04:35:42,20,4,10.2,88,9.6,0.0,24140.0
2024-04-14 05:54:38,20,5,11.2,87,10.9,0.0,24140.0
2024-04-14 06:20:36,20,5,12.4,84,12.2,0.0,24140.0
2024-04-14 08:05:36,20,8,19.1,69,19.5,0.0,24140.0
2024-04-14 08:47:45,20,8,21.8,61,22.9,0.0,24140.0
2024-04-14 11:16:56,20,2,27.8,37,28.5,0.0,24140.0
2024-04-14 14:33:19,20,2,30.4,26,28.3,0.0,24140.0
2024-04-14 21:07:34,20,20,17.2,63,16.8,0.0,24140.0
2024-04-14 23:30:21,20,19,14.8,68,14.5,0.0,24140.0
2024-04-15 00:11:11,20,19,14.4,71,14.1,0.0,24140.0
2024-04-15 03:42:07,20,19,12.1,77,11.3,0.0,24140.0
2024-04-15 04:25:07,20,17,12.0,76,11.3,0.0,24140.0
2024-04-15 04:40:25,20,17,11.9,79,11.1,0.0,24140.0
2024-04-15 05:07:33,20,19,11.9,79,11.1,0.0,24140.0
2024-04-15 05:32:18,20,20,12.8,77,12.1,0.0,24140.0
2024-04-15 06:10:08,20,19,13.6,75,13.1,0.0,24140.0
2024-04-15 06:32:25,20,20,15.9,68,15.4,0.0,24140.0
2024-04-15 07:04:36,20,20,18.0,62,17.5,0.0,24140.0
2024-04-15 07:32:39,20,20,20.2,53,19.2,0.0,24140.0
2024-04-15 08:08:48,20,20,22.0,46,20.6,0.0,24140.0
2024-04-15 08:32:18,20,19,23.8,42,23.0,0.0,24140.0
2024-04-15 09:05:22,20,17,25.0,39,24.9,0.0,24140.0
2024-04-15 09:33:32,20,17,26.1,37,25.9,0.0,24140.0
2024-04-15 10:06:23,20,16,26.8,35,26.3,0.0,24140.0
2024-04-15 10:32:06,20,17,26.9,34,26.8,0.0,24140.0
2024-04-15 11:03:52,20,12,27.5,33,27.0,0.0,24140.0
2024-04-15 11:32:30,20,6,27.6,33,26.2,0.0,24140.0
2024-04-15 12:13:29,20,0,27.5,33,25.6,0.0,24140.0
2024-04-15 12:42:36,20,14,27.6,32,25.3,0.0,24140.0
2024-04-15 13:08:31,20,13,27.8,31,24.9,0.0,24140.0
2024-04-15 13:32:40,20,10,27.2,30,24.2,0.0,24140.0
2024-04-15 14:05:18,20,7,27.0,31,24.1,0.0,24140.0
2024-04-15 14:32:43,20,14,26.0,30,22.9,0.0,24140.0
2024-04-15 15:04:43,20,17,25.1,29,21.7,0.0,24140.0
2024-04-15 15:32:52,20,19,24.2,29,20.6,0.0,24140.0
2024-04-15 16:08:26,20,19,23.5,29,19.8,0.0,24140.0
2024-04-15 16:32:29,20,19,22.6,37,19.0,0.0,24140.0
2024-04-15 17:06:00,20,20,22.0,39,18.5,0.0,24140.0
2024-04-15 17:32:28,20,17,21.4,40,18.2,0.0,24140.0
2024-04-15 18:10:08,20,14,21.0,41,18.1,0.0,24140.0
2024-04-15 18:35:57,20,15,20.5,40,17.8,0.0,24140.0
2024-04-15 19:04:26,20,15,20.1,38,17.4,0.0,24140.0
2024-04-15 19:32:15,20,17,19.9,40,18.2,0.0,24140.0
2024-04-15 20:08:12,20,17,19.5,43,18.1,0.0,24140.0
2024-04-15 20:32:55,20,17,18.1,49,16.8,0.0,24140.0
2024-04-15 21:07:55,20,17,16.9,54,15.6,0.0,24140.0
2024-04-15 21:32:46,20,11,16.1,58,14.7,0.0,24140.0
2024-04-15 22:05:12,20,11,15.7,61,14.2,0.0,24140.0
2024-04-15 22:32:14,20,11,17.2,53,16.3,0.0,24140.0
2024-04-15 23:05:31,20,10,15.4,62,14.0,0.0,24140.0
2024-04-15 23:32:25,20,11,14.1,71,12.1,0.0,24140.0
2024-04-16 00:30:22,20,11,12.6,80,10.1,0.0,24140.0
2024-04-16 01:33:51,20,16,12.7,81,10.8,0.0,24140.0
2024-04-16 02:16:05,20,16,12.7,81,11.2,0.0,24140.0
2024-04-16 02:34:10,20,16,12.7,81,11.3,0.0,24140.0
2024-04-16 03:09:25,20,18,12.8,81,11.4,0.0,11200.0
2024-04-16 03:32:09,20,18,12.8,81,11.7,0.0,11200.0
2024-04-16 04:09:13,20,18,12.9,81,11.9,0.0,11640.0
2024-04-16 04:32:31,20,17,13.1,80,11.7,0.0,11640.0
2024-04-16 05:08:17,20,19,13.1,82,11.8,0.0,10120.0
2024-04-16 05:32:28,20,19,12.9,85,11.9,0.0,10120.0
2024-04-16 06:09:39,20,19,12.7,87,11.3,0.0,18480.0
2024-04-16 06:33:31,20,18,12.6,86,11.0,0.0,18480.0
2024-04-16 07:08:25,20,20,12.4,85,10.7,0.0,7540.0
2024-04-16 07:33:36,20,20,9.7,82,7.1,0.0,7540.0
2024-04-16 08:09:27,20,20,8.1,82,5.3,0.0,6260.0
2024-04-16 08:32:19,20,20,7.4,83,4.4,0.0,6260.0
2024-04-16 09:07:54,20,20,7.2,85,3.9,0.0,320.0
2024-04-16 09:33:00,20,20,7.2,85,4.1,0.0,320.0
2024-04-16 10:07:57,20,19,7.2,85,4.3,0.0,60.0
2024-04-16 10:33:11,20,19,6.2,80,2.6,0.0,60.0
2024-04-16 11:04:52,20,19,5.0,83,1.1,0.0,60.0
2024-04-16 11:32:29,20,19,4.7,83,0.8,0.0,60.0
2024-04-16 12:11:55,20,17,4.7,83,0.9,0.0,100.0
2024-04-16 12:46:08,20,18,4.2,85,1.1,0.0,100.0
2024-04-16 13:09:57,20,18,4.1,85,1.2,0.0,80.0
2024-04-16 13:32:22,20,17,3.5,88,1.0,0.3,80.0
2024-04-16 14:08:05,20,15,3.5,87,1.1,0.3,60.0
2024-04-16 14:32:27,20,15,3.5,86,1.0,0.4,60.0
2024-04-16 15:07:26,20,15,3.6,86,1.0,0.4,60.0
