date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:25,20,15,17.0,55,16.0,0.0,24140.0
2024-04-13 23:10:13,20,13,16.4,58,15.3,0.0,24140.0
2024-04-13 23:32:33,20,13,15.9,57,14.7,0.0,24140.0
2024-04-14 00:30:37,20,13,15.5,55,13.9,0.0,24140.0
2024-04-14 01:59:43,20,13,14.9,49,12.8,0.0,24140.0
2024-04-14 03:14:33,20,13,14.9,46,12.7,0.0,24140.0
2024-04-14 03:58:56,20,14,14.4,55,12.7,0.0,24140.0
2024-04-14 04:35:43,20,14,14.4,61,13.1,0.0,24140.0
2024-04-14 05:54:39,20,15,16.1,65,15.6,0.0,24140.0
2024-04-14 06:20:37,20,15,17.2,68,17.3,0.0,24140.0
2024-04-14 08:05:38,20,16,19.8,69,20.3,0.0,24140.0
2024-04-14 08:47:46,20,14,22.0,64,23.5,0.0,24140.0
2024-04-14 11:16:58,20,14,27.5,46,30.0,0.0,24140.0
2024-04-14 14:33:21,20,15,30.0,22,27.8,0.0,24140.0
2024-04-14 21:07:36,20,14,21.8,34,20.0,0.0,24140.0
2024-04-14 23:30:22,20,14,18.1,45,16.5,0.0,24140.0
2024-04-15 00:11:12,20,14,18.2,47,16.9,0.0,24140.0
2024-04-15 03:42:09,20,15,15.7,49,13.8,0.0,24140.0
2024-04-15 04:25:08,20,15,15.4,51,13.6,0.0,24140.0
2024-04-15 04:40:26,20,16,15.8,53,14.1,0.0,24140.0
2024-04-15 05:07:34,20,17,16.1,56,14.8,0.0,24140.0
2024-04-15 05:32:19,20,19,17.2,57,16.4,0.0,24140.0
2024-04-15 06:10:10,20,20,18.3,57,17.7,0.0,24140.0
2024-04-15 06:32:26,20,20,19.1,57,18.5,0.0,24140.0
2024-04-15 07:04:37,20,13,19.8,56,19.0,0.0,24140.0
2024-04-15 07:32:40,20,13,21.1,56,20.6,0.0,24140.0
2024-04-15 08:08:49,20,15,22.5,50,21.9,0.0,24140.0
2024-04-15 08:32:20,20,15,23.8,45,23.4,0.0,24140.0
2024-04-15 09:05:24,20,15,24.7,42,24.5,0.0,24140.0
2024-04-15 09:33:33,20,14,25.8,40,26.2,0.0,24140.0
2024-04-15 10:06:24,20,15,26.6,38,27.5,0.0,24140.0
2024-04-15 10:32:07,20,15,26.6,38,28.0,0.0,24140.0
