date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:19,20,2,15.4,67,15.2,0.0,24140.0
2024-04-13 23:10:11,20,4,14.8,72,14.4,0.0,24140.0
2024-04-13 23:32:30,20,4,14.2,72,13.8,0.0,24140.0
2024-04-14 00:30:34,20,4,13.1,77,12.7,0.0,24140.0
2024-04-14 01:59:41,20,3,11.9,81,11.5,0.0,24140.0
2024-04-14 03:14:31,20,0,11.5,81,11.0,0.0,24140.0
2024-04-14 03:58:54,20,0,11.1,83,10.5,0.0,24140.0
2024-04-14 04:35:41,20,0,10.2,88,9.6,0.0,24140.0
2024-04-14 05:54:37,20,0,11.2,87,10.9,0.0,24140.0
2024-04-14 06:20:35,20,0,12.4,84,12.2,0.0,24140.0
2024-04-14 08:05:35,20,0,19.1,69,19.4,0.0,24140.0
2024-04-14 08:47:44,20,0,21.8,61,22.8,0.0,24140.0
2024-04-14 11:16:55,20,0,27.7,37,28.4,0.0,24140.0
2024-04-14 14:33:18,20,1,30.3,26,28.2,0.0,24140.0
2024-04-14 21:07:33,20,16,17.1,63,16.8,0.0,24140.0
2024-04-14 23:30:19,20,13,14.8,68,14.4,0.0,24140.0
2024-04-15 00:11:10,20,13,14.4,71,14.0,0.0,24140.0
2024-04-15 03:42:06,20,14,12.1,77,11.3,0.0,24140.0
2024-04-15 04:25:05,20,13,12.0,76,11.3,0.0,24140.0
2024-04-15 04:40:24,20,11,11.8,79,11.1,0.0,24140.0
2024-04-15 05:07:32,20,7,11.8,79,11.1,0.0,24140.0
2024-04-15 05:32:17,20,8,12.7,77,12.1,0.0,24140.0
2024-04-15 06:10:07,20,0,13.6,75,13.1,0.0,24140.0
2024-04-15 06:32:23,20,0,15.9,68,15.4,0.0,24140.0
2024-04-15 07:04:35,20,0,18.0,62,17.4,0.0,24140.0
2024-04-15 07:32:38,20,7,20.1,53,19.1,0.0,24140.0
2024-04-15 08:08:47,20,5,21.9,46,20.5,0.0,24140.0
2024-04-15 08:32:17,20,4,23.7,42,23.0,0.0,24140.0
2024-04-15 09:05:21,20,7,25.0,39,24.8,0.0,24140.0
2024-04-15 09:33:31,20,4,26.0,37,25.9,0.0,24140.0
2024-04-15 10:06:22,20,5,26.8,35,26.2,0.0,24140.0
2024-04-15 10:32:05,20,5,26.8,34,26.8,0.0,24140.0
2024-04-15 11:03:51,20,7,27.4,33,26.9,0.0,24140.0
2024-04-15 11:32:29,20,10,27.5,33,26.1,0.0,24140.0
2024-04-15 12:13:28,20,16,27.5,33,25.5,0.0,24140.0
2024-04-15 12:42:34,20,15,27.6,32,25.2,0.0,24140.0
2024-04-15 13:08:29,20,20,27.7,31,24.8,0.0,24140.0
2024-04-15 13:32:38,20,20,27.2,30,24.2,0.0,24140.0
2024-04-15 14:05:17,20,19,26.9,31,24.0,0.0,24140.0
2024-04-15 14:32:41,20,20,26.0,30,22.8,0.0,24140.0
2024-04-15 15:04:42,20,19,25.0,29,21.6,0.0,24140.0
2024-04-15 15:32:51,20,13,24.1,29,20.6,0.0,24140.0
2024-04-15 16:08:25,20,16,23.5,29,19.7,0.0,24140.0
2024-04-15 16:32:28,20,17,22.5,37,19.0,0.0,24140.0
2024-04-15 17:06:00,20,10,22.0,39,18.4,0.0,24140.0
2024-04-15 17:32:27,20,13,21.4,40,18.2,0.0,24140.0
2024-04-15 18:10:07,20,13,20.9,41,18.0,0.0,24140.0
2024-04-15 18:35:56,20,8,20.5,40,17.7,0.0,24140.0
2024-04-15 19:04:24,20,6,20.1,38,17.4,0.0,24140.0
2024-04-15 19:32:13,20,5,19.8,40,18.2,0.0,24140.0
2024-04-15 20:08:11,20,6,19.5,43,18.0,0.0,24140.0
2024-04-15 20:32:54,20,7,18.1,49,16.8,0.0,24140.0
2024-04-15 21:07:54,20,6,16.8,54,15.5,0.0,24140.0
2024-04-15 21:32:45,20,8,16.0,58,14.7,0.0,24140.0
2024-04-15 22:05:10,20,8,15.6,61,14.1,0.0,24140.0
2024-04-15 22:32:13,20,8,17.2,53,16.3,0.0,24140.0
2024-04-15 23:05:30,20,6,15.3,62,14.0,0.0,24140.0
2024-04-15 23:32:24,20,6,14.1,71,12.1,0.0,24140.0
2024-04-16 00:30:20,20,6,12.6,80,10.1,0.0,24140.0
2024-04-16 01:33:50,20,6,12.7,81,10.8,0.0,24140.0
2024-04-16 02:16:03,20,6,12.6,81,11.1,0.0,24140.0
2024-04-16 02:34:09,20,6,12.7,81,11.3,0.0,24140.0
2024-04-16 03:09:24,20,6,12.7,81,11.4,0.0,11200.0
2024-04-16 03:32:09,20,5,12.8,81,11.6,0.0,11200.0
2024-04-16 04:09:12,20,4,12.8,81,11.9,0.0,11640.0
2024-04-16 04:32:30,20,4,13.0,80,11.7,0.0,11640.0
2024-04-16 05:08:16,20,0,13.1,82,11.8,0.0,10120.0
2024-04-16 05:32:27,20,13,12.9,85,11.9,0.0,10120.0
2024-04-16 06:09:38,20,8,12.6,87,11.2,0.0,18480.0
2024-04-16 06:33:30,20,1,12.5,86,11.0,0.0,18480.0
2024-04-16 07:08:24,20,9,12.4,85,10.7,0.0,7540.0
2024-04-16 07:33:35,20,8,9.6,82,7.0,0.0,7540.0
2024-04-16 08:09:26,20,5,8.0,82,5.2,0.0,6260.0
2024-04-16 08:32:18,20,6,7.4,83,4.3,0.0,6260.0
2024-04-16 09:07:53,20,6,7.2,85,3.9,0.0,320.0
2024-04-16 09:32:59,20,6,7.2,85,4.1,0.0,320.0
2024-04-16 10:07:56,20,6,7.2,85,4.2,0.0,60.0
2024-04-16 10:33:10,20,6,6.2,80,2.5,0.0,60.0
2024-04-16 11:04:51,20,6,4.9,83,1.0,0.0,60.0
2024-04-16 11:32:28,20,5,4.7,83,0.8,0.0,60.0
2024-04-16 12:11:54,20,3,4.7,83,0.8,0.0,100.0
2024-04-16 12:46:07,20,3,4.2,85,1.1,0.0,100.0
2024-04-16 13:09:56,20,3,4.1,85,1.1,0.0,80.0
2024-04-16 13:32:21,20,4,3.4,88,0.9,0.3,80.0
2024-04-16 14:08:04,20,6,3.5,87,1.0,0.3,60.0
2024-04-16 14:32:26,20,7,3.5,86,0.9,0.4,60.0
2024-04-16 15:07:24,20,8,3.5,86,0.9,0.4,60.0
2024-04-16 15:32:24,20,9,4.1,84,1.7,0.2,60.0
2024-04-16 16:11:37,20,11,4.5,83,2.3,0.3,100.0
2024-04-16 16:34:31,20,9,3.1,89,-0.0,0.2,100.0
2024-04-16 17:05:12,20,10,3.0,89,-0.5,0.6,200.0
2024-04-16 17:33:09,20,10,3.0,88,-0.6,0.2,240.0
2024-04-16 18:09:06,20,9,3.0,87,-0.6,0.0,140.0
2024-04-16 18:32:31,20,9,3.4,86,-0.2,0.0,140.0
2024-04-16 19:02:59,20,8,3.7,85,0.2,0.0,320.0
2024-04-16 19:32:11,20,8,3.7,85,0.8,0.0,320.0
2024-04-16 20:07:43,20,8,3.8,85,0.8,0.1,5080.0
2024-04-16 20:32:23,20,7,3.8,84,1.1,0.1,5080.0
2024-04-16 21:05:55,20,4,3.8,84,1.2,0.0,10820.0
2024-04-16 21:32:24,20,4,4.0,84,1.7,0.0,10820.0
2024-04-16 22:05:29,20,4,4.1,84,2.1,0.0,10900.0
2024-04-16 22:33:21,20,4,4.1,84,1.8,0.0,10900.0
2024-04-16 23:08:49,20,4,4.2,84,1.9,0.0,10780.0
2024-04-16 23:32:27,20,4,4.0,86,1.8,0.0,10560.0
2024-04-17 00:30:37,20,4,3.5,89,1.1,0.0,10580.0
2024-04-17 01:34:06,20,1,2.5,94,0.1,0.0,14300.0
2024-04-17 02:17:31,20,2,2.2,94,-0.2,0.0,24140.0
2024-04-17 02:38:12,20,2,2.1,95,-0.3,0.0,24140.0
2024-04-17 03:07:42,20,2,1.9,96,-0.5,0.0,18980.0
2024-04-17 03:32:46,20,2,1.8,96,-0.7,0.0,18980.0
2024-04-17 04:10:21,20,1,1.6,96,-0.8,0.0,24140.0
2024-04-17 04:32:53,20,1,1.3,100,-0.9,0.0,24140.0
2024-04-17 05:07:11,20,0,1.1,100,-1.0,0.0,24140.0
2024-04-17 05:32:34,20,0,1.6,99,-0.4,0.0,24140.0
2024-04-17 06:11:05,20,0,2.2,97,-0.0,0.0,24140.0
2024-04-17 06:35:50,20,0,4.0,89,2.0,0.0,24140.0
2024-04-17 07:06:44,20,9,5.5,81,3.5,0.0,24140.0
2024-04-17 07:32:32,20,9,6.6,80,4.1,0.0,24140.0
2024-04-17 08:09:34,20,7,7.5,77,5.3,0.0,24140.0
2024-04-17 08:32:27,20,8,9.0,70,7.3,0.0,24140.0
2024-04-17 09:07:15,20,4,10.1,64,8.6,0.0,20360.0
2024-04-17 09:32:17,20,1,10.9,58,9.1,0.0,20360.0
2024-04-17 10:07:39,20,2,11.4,54,9.3,0.0,19600.0
2024-04-17 10:33:29,20,4,11.4,54,9.7,0.0,19600.0
2024-04-17 11:05:31,20,10,11.9,52,10.4,0.0,17880.0
2024-04-17 11:32:49,20,9,12.5,49,10.7,0.0,14980.0
2024-04-17 12:12:25,20,10,12.9,47,10.5,0.0,17880.0
2024-04-17 12:46:08,20,13,12.9,51,9.9,0.0,17880.0
2024-04-17 13:07:25,20,11,12.8,52,9.4,0.0,14620.0
2024-04-17 13:32:20,20,17,12.4,52,8.5,0.0,14620.0
2024-04-17 14:08:33,20,20,11.6,60,7.0,0.0,14340.0
2024-04-17 14:32:16,20,20,11.4,60,8.2,0.0,14340.0
2024-04-17 15:07:37,20,9,11.1,58,9.1,0.0,12320.0
2024-04-17 15:32:40,20,8,10.1,63,8.2,0.0,12320.0
2024-04-17 16:08:59,20,8,9.2,69,6.8,0.0,12480.0
2024-04-17 16:37:44,20,4,10.6,72,8.4,0.0,12480.0
2024-04-17 17:04:34,20,5,9.8,82,7.9,0.0,22980.0
2024-04-17 17:32:17,20,4,9.4,84,8.0,0.0,22980.0
2024-04-17 18:09:32,20,2,9.2,84,7.8,0.0,21300.0
2024-04-17 18:32:43,20,2,8.8,76,7.1,0.0,21300.0
2024-04-17 19:04:11,20,2,8.2,68,6.2,0.0,22040.0
2024-04-17 19:32:10,20,3,8.9,76,7.1,0.0,22040.0
2024-04-17 20:07:56,20,4,8.4,80,6.5,0.0,24140.0
2024-04-17 20:32:49,20,5,8.4,73,6.1,0.0,24140.0
2024-04-17 21:08:14,20,5,8.4,65,5.8,0.0,24140.0
2024-04-17 21:32:28,20,5,8.3,61,5.3,0.0,24140.0
2024-04-17 22:05:08,20,2,8.2,58,4.9,0.0,24140.0
2024-04-17 22:32:25,20,3,8.1,62,5.3,0.0,24140.0
2024-04-17 23:06:42,20,3,7.9,64,5.2,0.0,24140.0
2024-04-17 23:32:29,20,3,7.8,65,5.2,0.0,24140.0
2024-04-18 00:30:15,20,3,7.6,65,5.0,0.0,24140.0
2024-04-18 01:33:51,20,3,6.8,76,4.7,0.0,24140.0
2024-04-18 02:16:15,20,3,6.5,77,4.5,0.0,24140.0
2024-04-18 02:38:16,20,3,6.4,78,4.5,0.0,24140.0
2024-04-18 03:08:05,20,3,6.3,79,4.5,0.0,24140.0
2024-04-18 03:32:19,20,2,6.1,81,4.2,0.0,24140.0
2024-04-18 04:08:48,20,1,5.8,83,3.9,0.0,24140.0
2024-04-18 04:32:28,20,0,5.8,86,3.8,0.0,24140.0
2024-04-18 05:08:18,20,0,5.8,84,3.6,0.0,24140.0
2024-04-18 05:32:18,20,4,6.3,82,4.5,0.0,24140.0
2024-04-18 06:10:00,20,4,6.8,81,4.9,0.0,24140.0
2024-04-18 06:34:10,20,1,7.3,79,5.6,0.0,24140.0
2024-04-18 07:08:19,20,10,7.8,78,6.2,0.0,24140.0
2024-04-18 07:32:15,20,9,8.2,77,6.6,0.0,24140.0
2024-04-18 08:10:21,20,5,8.8,72,7.2,0.0,17880.0
2024-04-18 08:33:20,20,5,9.4,69,7.5,0.0,17880.0
2024-04-18 09:08:13,20,6,9.9,67,7.7,0.0,13560.0
2024-04-18 09:32:19,20,5,10.2,64,7.9,0.0,13560.0
2024-04-18 10:09:55,20,7,10.4,61,7.8,0.0,13960.0
2024-04-18 10:36:33,20,6,10.3,59,7.7,0.0,13960.0
2024-04-18 11:03:49,20,8,10.9,54,8.3,0.0,17680.0
2024-04-18 11:32:21,20,8,9.6,61,6.7,0.0,15460.0
