date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:05,20,13,15.5,67,15.2,0.0,24140.0
2024-04-13 23:10:06,20,13,14.8,72,14.4,0.0,24140.0
2024-04-13 23:32:23,20,13,14.3,72,13.9,0.0,24140.0
2024-04-14 00:30:26,20,13,13.1,77,12.7,0.0,24140.0
2024-04-14 01:59:35,20,13,11.9,81,11.5,0.0,24140.0
2024-04-14 03:14:26,20,13,11.6,81,11.1,0.0,24140.0
2024-04-14 03:58:50,20,13,11.1,83,10.5,0.0,24140.0
2024-04-14 04:35:36,20,12,10.2,88,9.7,0.0,24140.0
2024-04-14 05:54:32,20,11,11.3,87,10.9,0.0,24140.0
2024-04-14 06:20:29,20,11,12.4,84,12.2,0.0,24140.0
2024-04-14 08:05:28,20,9,19.1,69,19.5,0.0,24140.0
2024-04-14 08:47:40,20,6,21.8,61,22.9,0.0,24140.0
2024-04-14 11:16:50,20,8,27.8,37,28.5,0.0,24140.0
2024-04-14 14:33:11,20,10,30.4,26,28.3,0.0,24140.0
2024-04-14 21:07:25,20,19,17.2,63,16.8,0.0,24140.0
2024-04-14 23:30:11,20,20,14.8,68,14.5,0.0,24140.0
2024-04-15 00:11:06,20,20,14.4,71,14.1,0.0,24140.0
2024-04-15 03:41:59,20,19,12.1,77,11.3,0.0,24140.0
2024-04-15 04:24:58,20,18,12.1,76,11.3,0.0,24140.0
2024-04-15 04:40:20,20,20,11.9,79,11.1,0.0,24140.0
2024-04-15 05:07:28,20,19,11.9,79,11.1,0.0,24140.0
2024-04-15 05:32:12,20,19,12.8,77,12.1,0.0,24140.0
2024-04-15 06:09:59,20,20,13.6,75,13.1,0.0,24140.0
2024-04-15 06:32:16,20,17,15.9,68,15.4,0.0,24140.0
2024-04-15 07:04:30,20,19,18.0,62,17.5,0.0,24140.0
2024-04-15 07:32:33,20,20,20.2,53,19.2,0.0,24140.0
2024-04-15 08:08:41,20,20,22.0,46,20.6,0.0,24140.0
2024-04-15 08:32:10,20,20,23.8,42,23.0,0.0,24140.0
2024-04-15 09:05:13,20,20,25.0,39,24.9,0.0,24140.0
2024-04-15 09:33:25,20,19,26.1,37,25.9,0.0,24140.0
2024-04-15 10:06:17,20,17,26.8,35,26.3,0.0,24140.0
2024-04-15 10:32:00,20,15,26.9,34,26.8,0.0,24140.0
2024-04-15 11:03:44,20,13,27.5,33,27.0,0.0,24140.0
2024-04-15 11:32:22,20,15,27.6,33,26.2,0.0,24140.0
2024-04-15 12:13:21,20,16,27.5,33,25.6,0.0,24140.0
2024-04-15 12:42:29,20,9,27.6,32,25.3,0.0,24140.0
2024-04-15 13:08:22,20,9,27.8,31,24.9,0.0,24140.0
2024-04-15 13:32:30,20,3,27.2,30,24.2,0.0,24140.0
2024-04-15 14:05:09,20,10,27.0,31,24.1,0.0,24140.0
2024-04-15 14:32:34,20,8,26.0,30,22.9,0.0,24140.0
2024-04-15 15:04:37,20,8,25.1,29,21.7,0.0,24140.0
2024-04-15 15:32:44,20,11,24.2,29,20.6,0.0,24140.0
2024-04-15 16:08:20,20,12,23.5,29,19.8,0.0,24140.0
2024-04-15 16:32:24,20,11,22.6,37,19.0,0.0,24140.0
2024-04-15 17:05:55,20,11,22.0,39,18.5,0.0,24140.0
2024-04-15 17:32:20,20,8,21.4,40,18.2,0.0,24140.0
2024-04-15 18:10:01,20,9,21.0,41,18.1,0.0,24140.0
2024-04-15 18:35:51,20,9,20.5,40,17.8,0.0,24140.0
2024-04-15 19:04:16,20,11,20.1,38,17.4,0.0,24140.0
2024-04-15 19:32:06,20,9,19.9,40,18.2,0.0,24140.0
2024-04-15 20:08:06,20,7,19.5,43,18.1,0.0,24140.0
2024-04-15 20:32:49,20,8,18.1,49,16.9,0.0,24140.0
2024-04-15 21:07:50,20,8,16.9,54,15.6,0.0,24140.0
2024-04-15 21:32:38,20,7,16.1,58,14.7,0.0,24140.0
2024-04-15 22:05:03,20,7,15.7,61,14.2,0.0,24140.0
2024-04-15 22:32:08,20,6,17.2,53,16.3,0.0,24140.0
2024-04-15 23:05:26,20,6,15.4,62,14.0,0.0,24140.0
2024-04-15 23:32:19,20,7,14.1,71,12.1,0.0,24140.0
2024-04-16 00:30:14,20,7,12.6,80,10.1,0.0,24140.0
2024-04-16 01:33:45,20,7,12.7,81,10.8,0.0,24140.0
2024-04-16 02:15:55,20,7,12.7,81,11.2,0.0,24140.0
2024-04-16 02:34:02,20,7,12.7,81,11.3,0.0,24140.0
2024-04-16 03:09:18,20,7,12.8,81,11.4,0.0,11200.0
2024-04-16 03:32:04,20,9,12.8,81,11.7,0.0,11200.0
2024-04-16 04:09:06,20,7,12.9,81,11.9,0.0,11640.0
2024-04-16 04:32:23,20,7,13.1,80,11.7,0.0,11640.0
2024-04-16 05:08:11,20,12,13.1,82,11.8,0.0,10120.0
2024-04-16 05:32:22,20,9,12.9,85,11.9,0.0,10120.0
2024-04-16 06:09:33,20,12,12.7,87,11.3,0.0,18480.0
2024-04-16 06:33:25,20,12,12.6,86,11.0,0.0,18480.0
2024-04-16 07:08:16,20,16,12.4,85,10.7,0.0,7540.0
2024-04-16 07:33:30,20,17,9.7,82,7.1,0.0,7540.0
2024-04-16 08:09:21,20,18,8.1,82,5.3,0.0,6260.0
2024-04-16 08:32:12,20,18,7.4,83,4.4,0.0,6260.0
2024-04-16 09:07:45,20,18,7.2,85,3.9,0.0,320.0
2024-04-16 09:32:51,20,18,7.2,85,4.1,0.0,320.0
2024-04-16 10:07:52,20,18,7.2,85,4.3,0.0,60.0
2024-04-16 10:33:06,20,17,6.2,80,2.6,0.0,60.0
2024-04-16 11:04:45,20,17,5.0,83,1.1,0.0,60.0
2024-04-16 11:32:23,20,17,4.7,83,0.8,0.0,60.0
2024-04-16 12:11:49,20,16,4.7,83,0.9,0.0,100.0
2024-04-16 12:46:01,20,16,4.2,85,1.1,0.0,100.0
2024-04-16 13:09:50,20,13,4.1,85,1.2,0.0,80.0
2024-04-16 13:32:15,20,14,3.5,88,1.0,0.3,80.0
2024-04-16 14:08:00,20,14,3.5,87,1.1,0.3,60.0
2024-04-16 14:32:22,20,14,3.5,86,1.0,0.4,60.0
2024-04-16 15:07:17,20,14,3.6,86,1.0,0.4,60.0
2024-04-16 15:32:18,20,14,4.1,84,1.8,0.2,60.0
2024-04-16 16:11:32,20,13,4.6,83,2.3,0.3,100.0
2024-04-16 16:34:26,20,12,3.2,89,0.0,0.2,100.0
2024-04-16 17:05:07,20,11,3.1,89,-0.5,0.6,200.0
2024-04-16 17:33:03,20,12,3.1,88,-0.6,0.2,240.0
2024-04-16 18:08:58,20,12,3.1,87,-0.6,0.0,140.0
