date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:22,20,9,15.8,61,15.1,0.0,24140.0
2024-04-13 23:10:12,20,13,15.2,65,14.5,0.0,24140.0
2024-04-13 23:32:32,20,13,14.6,69,14.0,0.0,24140.0
2024-04-14 00:30:36,20,12,13.6,73,12.9,0.0,24140.0
2024-04-14 01:59:42,20,12,12.6,74,11.9,0.0,24140.0
2024-04-14 03:14:32,20,12,13.4,68,12.5,0.0,24140.0
2024-04-14 03:58:56,20,12,12.2,74,11.5,0.0,24140.0
2024-04-14 04:35:42,20,12,11.4,78,10.5,0.0,24140.0
2024-04-14 05:54:38,20,12,12.2,73,11.1,0.0,24140.0
2024-04-14 06:20:36,20,12,13.2,71,12.2,0.0,24140.0
2024-04-14 08:05:37,20,10,18.5,63,18.4,0.0,24140.0
2024-04-14 08:47:46,20,8,21.5,61,22.7,0.0,24140.0
2024-04-14 11:16:57,20,9,27.9,36,28.9,0.0,24140.0
2024-04-14 14:33:20,20,4,30.9,23,29.5,0.0,24140.0
2024-04-14 21:07:35,20,0,17.4,64,17.0,0.0,24140.0
2024-04-14 23:30:21,20,0,15.8,58,14.8,0.0,24140.0
2024-04-15 00:11:11,20,0,16.0,56,15.2,0.0,24140.0
2024-04-15 03:42:08,20,0,12.4,78,11.7,0.0,24140.0
2024-04-15 04:25:07,20,0,12.4,75,11.7,0.0,24140.0
2024-04-15 04:40:26,20,0,12.2,74,11.5,0.0,24140.0
2024-04-15 05:07:33,20,0,12.6,70,11.8,0.0,24140.0
2024-04-15 05:32:18,20,0,13.1,71,12.3,0.0,24140.0
2024-04-15 06:10:09,20,0,13.6,72,12.7,0.0,24140.0
2024-04-15 06:32:25,20,0,15.4,66,14.6,0.0,24140.0
2024-04-15 07:04:36,20,0,17.3,59,16.3,0.0,24140.0
2024-04-15 07:32:40,20,0,20.2,49,19.0,0.0,24140.0
2024-04-15 08:08:48,20,7,22.1,47,21.2,0.0,24140.0
2024-04-15 08:32:19,20,8,23.9,42,23.4,0.0,24140.0
2024-04-15 09:05:23,20,8,25.1,38,24.9,0.0,24140.0
2024-04-15 09:33:32,20,8,26.2,35,26.4,0.0,24140.0
2024-04-15 10:06:23,20,6,27.0,33,27.4,0.0,24140.0
2024-04-15 10:32:06,20,8,27.0,35,28.1,0.0,24140.0
2024-04-15 11:03:53,20,12,27.6,34,28.6,0.0,24140.0
2024-04-15 11:32:30,20,11,28.0,32,27.6,0.0,24140.0
2024-04-15 12:13:30,20,11,28.2,30,26.7,0.0,24140.0
2024-04-15 12:42:36,20,11,28.2,29,26.1,0.0,24140.0
2024-04-15 13:08:31,20,11,28.2,29,25.7,0.0,24140.0
2024-04-15 13:32:40,20,11,27.6,28,24.8,0.0,24140.0
2024-04-15 14:05:19,20,17,27.1,30,24.5,0.0,24140.0
2024-04-15 14:32:43,20,16,26.4,29,23.6,0.0,24140.0
2024-04-15 15:04:43,20,14,25.7,27,22.8,0.0,24140.0
2024-04-15 15:32:53,20,15,24.8,27,21.7,0.0,24140.0
2024-04-15 16:08:27,20,16,24.1,27,20.8,0.0,24140.0
2024-04-15 16:32:30,20,17,23.1,35,20.3,0.0,24140.0
2024-04-15 17:06:01,20,19,22.5,37,19.8,0.0,24140.0
2024-04-15 17:32:29,20,18,22.0,37,19.5,0.0,24140.0
2024-04-15 18:10:08,20,13,21.5,37,19.4,0.0,24140.0
2024-04-15 18:35:57,20,17,21.0,37,19.0,0.0,24140.0
2024-04-15 19:04:26,20,17,20.7,37,18.7,0.0,24140.0
2024-04-15 19:32:16,20,15,20.5,39,18.3,0.0,24140.0
2024-04-15 20:08:13,20,14,20.1,41,17.9,0.0,24140.0
2024-04-15 20:32:56,20,14,19.2,45,17.6,0.0,24140.0
2024-04-15 21:07:55,20,18,18.4,48,16.6,0.0,24140.0
2024-04-15 21:32:46,20,18,17.2,54,15.3,0.0,24140.0
2024-04-15 22:05:12,20,20,16.3,60,14.5,0.0,24140.0
2024-04-15 22:32:15,20,20,17.5,53,16.0,0.0,24140.0
2024-04-15 23:05:31,20,20,15.7,62,14.0,0.0,24140.0
2024-04-15 23:32:26,20,20,14.4,70,12.6,0.0,24140.0
2024-04-16 00:30:22,20,20,13.0,79,11.0,0.0,24140.0
2024-04-16 01:33:51,20,20,13.1,80,11.7,0.0,24140.0
2024-04-16 02:16:05,20,20,13.0,80,11.9,0.0,24140.0
2024-04-16 02:34:11,20,20,12.9,81,11.9,0.0,24140.0
2024-04-16 03:09:25,20,20,12.8,81,11.7,0.0,11200.0
2024-04-16 03:32:10,20,20,12.8,81,11.9,0.0,11200.0
2024-04-16 04:09:13,20,20,12.9,80,12.2,0.0,11640.0
2024-04-16 04:32:32,20,20,13.2,81,12.3,0.0,11640.0
2024-04-16 05:08:17,20,19,13.4,81,12.3,0.0,10120.0
2024-04-16 05:32:29,20,18,13.2,83,12.2,0.0,10120.0
2024-04-16 06:09:40,20,17,13.1,85,11.8,0.0,18480.0
2024-04-16 06:33:32,20,17,12.9,85,11.5,0.0,18480.0
2024-04-16 07:08:26,20,17,12.7,85,11.2,0.0,7540.0
2024-04-16 07:33:37,20,17,10.0,82,7.7,0.0,7540.0
2024-04-16 08:09:27,20,17,8.4,81,5.6,0.0,6260.0
2024-04-16 08:32:19,20,17,7.7,82,4.8,0.0,6260.0
2024-04-16 09:07:55,20,17,7.6,84,4.6,0.0,320.0
2024-04-16 09:33:01,20,17,7.6,82,4.9,0.0,320.0
2024-04-16 10:07:57,20,17,7.7,79,4.5,0.0,60.0
2024-04-16 10:33:12,20,17,7.1,79,3.9,0.0,60.0
2024-04-16 11:04:52,20,17,6.7,81,3.5,0.0,60.0
2024-04-16 11:32:29,20,17,5.7,82,2.4,0.0,60.0
2024-04-16 12:11:56,20,17,4.9,82,1.6,0.0,100.0
2024-04-16 12:46:08,20,17,4.1,84,1.3,0.0,100.0
2024-04-16 13:09:57,20,17,3.9,85,1.3,0.0,80.0
2024-04-16 13:32:22,20,17,3.3,88,1.1,0.2,80.0
2024-04-16 14:08:06,20,17,3.2,88,0.5,0.4,60.0
2024-04-16 14:32:28,20,17,3.6,86,0.9,0.1,60.0
2024-04-16 15:07:26,20,17,4.1,84,1.4,0.1,60.0
2024-04-16 15:32:25,20,17,4.7,82,2.1,0.3,60.0
2024-04-16 16:11:38,20,17,5.2,80,2.6,0.2,100.0
2024-04-16 16:34:33,20,17,3.6,87,0.5,0.2,100.0
2024-04-16 17:05:14,20,17,3.4,88,0.2,0.3,200.0
2024-04-16 17:33:10,20,17,3.4,87,0.3,0.0,240.0
2024-04-16 18:09:08,20,17,3.5,85,0.5,0.0,140.0
2024-04-16 18:32:32,20,17,3.8,84,0.9,0.0,140.0
2024-04-16 19:03:01,20,17,4.2,83,1.3,0.0,320.0
2024-04-16 19:32:12,20,17,4.1,84,1.6,0.0,320.0
2024-04-16 20:07:45,20,17,4.2,84,1.6,0.1,5080.0
2024-04-16 20:32:25,20,17,4.2,84,1.8,0.1,5080.0
2024-04-16 21:05:57,20,17,4.2,84,2.0,0.0,10820.0
2024-04-16 21:32:26,20,17,4.4,83,2.5,0.0,10820.0
2024-04-16 22:05:30,20,20,4.6,82,2.5,0.0,10900.0
2024-04-16 22:33:23,20,20,4.4,85,2.4,0.0,10900.0
2024-04-16 23:08:50,20,20,4.7,86,2.6,0.0,10780.0
2024-04-16 23:32:29,20,20,4.7,85,2.7,0.0,10560.0
2024-04-17 00:30:39,20,20,4.4,85,2.2,0.0,10580.0
2024-04-17 01:34:08,20,20,3.5,91,1.2,0.0,14300.0
2024-04-17 02:17:32,20,20,2.7,95,0.4,0.0,24140.0
2024-04-17 02:38:14,20,20,2.6,95,0.3,0.0,24140.0
2024-04-17 03:07:43,20,20,2.5,95,0.2,0.0,18980.0
2024-04-17 03:32:48,20,20,2.3,96,0.1,0.0,18980.0
2024-04-17 04:10:22,20,20,2.3,97,0.0,0.0,24140.0
2024-04-17 04:32:55,20,20,2.1,97,-0.2,0.0,24140.0
2024-04-17 05:07:12,20,20,2.0,97,-0.4,0.0,24140.0
2024-04-17 05:32:35,20,20,2.8,92,0.4,0.0,24140.0
2024-04-17 06:11:07,20,20,3.7,88,1.3,0.0,24140.0
2024-04-17 06:35:51,20,20,5.2,81,3.3,0.0,24140.0
2024-04-17 07:06:46,20,18,6.7,76,4.9,0.0,24140.0
2024-04-17 07:32:34,20,17,7.1,76,4.7,0.0,24140.0
2024-04-17 08:09:35,20,17,7.8,75,5.8,0.0,24140.0
2024-04-17 08:32:29,20,18,9.3,67,7.7,0.0,24140.0
2024-04-17 09:07:16,20,19,10.6,60,9.1,0.0,20360.0
2024-04-17 09:32:18,20,18,11.2,54,9.1,0.0,20360.0
2024-04-17 10:07:40,20,19,11.6,50,9.4,0.0,19600.0
2024-04-17 10:33:31,20,19,11.5,57,9.7,0.0,19600.0
2024-04-17 11:05:32,20,20,12.0,55,10.2,0.0,17880.0
2024-04-17 11:32:51,20,20,12.5,51,10.5,0.0,14980.0
2024-04-17 12:12:27,20,20,12.9,47,10.5,0.0,17880.0
2024-04-17 12:46:10,20,20,13.4,44,10.7,0.0,17880.0
2024-04-17 13:07:27,20,19,13.5,44,10.0,0.0,14620.0
2024-04-17 13:32:21,20,20,13.1,47,9.8,0.0,14620.0
2024-04-17 14:08:34,20,19,13.1,50,9.5,0.0,14340.0
2024-04-17 14:32:17,20,20,12.4,53,9.6,0.0,14340.0
2024-04-17 15:07:38,20,19,11.7,56,9.6,0.0,12320.0
2024-04-17 15:32:41,20,19,10.6,63,8.6,0.0,12320.0
