date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:12,20,6,15.7,61,14.9,0.0,24140.0
2024-04-13 23:10:08,20,7,15.1,65,14.4,0.0,24140.0
2024-04-13 23:32:26,20,7,14.5,69,13.8,0.0,24140.0
2024-04-14 00:30:30,20,8,13.4,73,12.8,0.0,24140.0
2024-04-14 01:59:38,20,10,12.6,74,11.7,0.0,24140.0
2024-04-14 03:14:28,20,10,13.2,68,12.4,0.0,24140.0
2024-04-14 03:58:52,20,10,12.1,74,11.4,0.0,24140.0
2024-04-14 04:35:38,20,11,11.4,78,10.4,0.0,24140.0
2024-04-14 05:54:34,20,11,12.1,73,11.0,0.0,24140.0
2024-04-14 06:20:32,20,12,13.1,71,12.0,0.0,24140.0
2024-04-14 08:05:31,20,8,18.5,63,18.2,0.0,24140.0
2024-04-14 08:47:42,20,9,21.5,61,22.6,0.0,24140.0
2024-04-14 11:16:52,20,12,27.8,36,28.8,0.0,24140.0
2024-04-14 14:33:14,20,19,30.8,23,29.4,0.0,24140.0
2024-04-14 21:07:29,20,4,17.3,64,16.9,0.0,24140.0
2024-04-14 23:30:15,20,5,15.7,58,14.8,0.0,24140.0
2024-04-15 00:11:08,20,5,15.9,56,15.1,0.0,24140.0
2024-04-15 03:42:02,20,5,12.4,78,11.7,0.0,24140.0
2024-04-15 04:25:01,20,5,12.4,75,11.6,0.0,24140.0
2024-04-15 04:40:22,20,5,12.1,74,11.4,0.0,24140.0
2024-04-15 05:07:30,20,5,12.5,70,11.7,0.0,24140.0
2024-04-15 05:32:15,20,5,13.0,71,12.2,0.0,24140.0
2024-04-15 06:10:03,20,1,13.4,72,12.6,0.0,24140.0
2024-04-15 06:32:19,20,6,15.4,66,14.5,0.0,24140.0
2024-04-15 07:04:32,20,8,17.2,59,16.2,0.0,24140.0
2024-04-15 07:32:35,20,11,20.1,49,18.8,0.0,24140.0
2024-04-15 08:08:44,20,8,22.0,47,21.0,0.0,24140.0
2024-04-15 08:32:13,20,6,23.8,42,23.2,0.0,24140.0
