date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:18,20,1,15.4,67,15.2,0.0,24140.0
2024-04-13 23:10:11,20,2,14.8,72,14.4,0.0,24140.0
2024-04-13 23:32:29,20,2,14.2,72,13.8,0.0,24140.0
2024-04-14 00:30:33,20,4,13.1,77,12.7,0.0,24140.0
2024-04-14 01:59:40,20,1,11.9,81,11.5,0.0,24140.0
2024-04-14 03:14:30,20,1,11.5,81,11.0,0.0,24140.0
2024-04-14 03:58:54,20,1,11.0,83,10.5,0.0,24140.0
2024-04-14 04:35:41,20,1,10.1,88,9.6,0.0,24140.0
2024-04-14 05:54:36,20,1,11.2,87,10.8,0.0,24140.0
2024-04-14 06:20:34,20,1,12.4,84,12.1,0.0,24140.0
2024-04-14 08:05:35,20,0,19.1,69,19.4,0.0,24140.0
2024-04-14 08:47:44,20,0,21.8,61,22.8,0.0,24140.0
2024-04-14 11:16:55,20,1,27.7,37,28.4,0.0,24140.0
2024-04-14 14:33:18,20,0,30.3,26,28.2,0.0,24140.0
2024-04-14 21:07:32,20,10,17.1,63,16.8,0.0,24140.0
2024-04-14 23:30:19,20,7,14.8,68,14.4,0.0,24140.0
2024-04-15 00:11:10,20,7,14.4,71,14.0,0.0,24140.0
2024-04-15 03:42:06,20,8,12.0,77,11.2,0.0,24140.0
2024-04-15 04:25:05,20,8,11.9,76,11.2,0.0,24140.0
2024-04-15 04:40:24,20,6,11.8,79,11.1,0.0,24140.0
2024-04-15 05:07:32,20,6,11.8,79,11.1,0.0,24140.0
2024-04-15 05:32:17,20,8,12.7,77,12.1,0.0,24140.0
2024-04-15 06:10:06,20,2,13.6,75,13.1,0.0,24140.0
2024-04-15 06:32:23,20,1,15.9,68,15.4,0.0,24140.0
2024-04-15 07:04:35,20,1,18.0,62,17.4,0.0,24140.0
2024-04-15 07:32:38,20,4,20.1,53,19.1,0.0,24140.0
2024-04-15 08:08:46,20,2,21.9,46,20.5,0.0,24140.0
2024-04-15 08:32:17,20,2,23.6,42,22.9,0.0,24140.0
2024-04-15 09:05:20,20,1,25.0,39,24.8,0.0,24140.0
2024-04-15 09:33:30,20,0,26.0,37,25.9,0.0,24140.0
2024-04-15 10:06:22,20,3,26.8,35,26.2,0.0,24140.0
2024-04-15 10:32:04,20,2,26.8,34,26.8,0.0,24140.0
2024-04-15 11:03:50,20,6,27.4,33,26.9,0.0,24140.0
2024-04-15 11:32:28,20,7,27.5,33,26.1,0.0,24140.0
2024-04-15 12:13:27,20,8,27.5,33,25.5,0.0,24140.0
2024-04-15 12:42:34,20,12,27.6,32,25.2,0.0,24140.0
2024-04-15 13:08:29,20,4,27.7,31,24.8,0.0,24140.0
2024-04-15 13:32:37,20,4,27.2,30,24.2,0.0,24140.0
2024-04-15 14:05:16,20,9,26.9,31,24.0,0.0,24140.0
2024-04-15 14:32:41,20,14,26.0,30,22.8,0.0,24140.0
2024-04-15 15:04:42,20,9,25.0,29,21.6,0.0,24140.0
2024-04-15 15:32:51,20,6,24.1,29,20.6,0.0,24140.0
2024-04-15 16:08:25,20,14,23.5,29,19.7,0.0,24140.0
2024-04-15 16:32:28,20,14,22.5,37,19.0,0.0,24140.0
2024-04-15 17:05:59,20,17,22.0,39,18.4,0.0,24140.0
2024-04-15 17:32:27,20,17,21.4,40,18.1,0.0,24140.0
2024-04-15 18:10:06,20,19,20.9,41,18.0,0.0,24140.0
2024-04-15 18:35:56,20,19,20.4,40,17.6,0.0,24140.0
2024-04-15 19:04:23,20,19,20.1,38,17.4,0.0,24140.0
2024-04-15 19:32:13,20,17,19.8,40,18.2,0.0,24140.0
2024-04-15 20:08:11,20,17,19.5,43,18.0,0.0,24140.0
2024-04-15 20:32:54,20,17,18.0,49,16.7,0.0,24140.0
2024-04-15 21:07:54,20,18,16.8,54,15.5,0.0,24140.0
2024-04-15 21:32:44,20,19,16.0,58,14.7,0.0,24140.0
2024-04-15 22:05:10,20,19,15.6,61,14.1,0.0,24140.0
2024-04-15 22:32:13,20,19,17.2,53,16.2,0.0,24140.0
2024-04-15 23:05:30,20,19,15.3,62,14.0,0.0,24140.0
2024-04-15 23:32:24,20,19,14.0,71,12.1,0.0,24140.0
2024-04-16 00:30:20,20,19,12.6,80,10.1,0.0,24140.0
2024-04-16 01:33:50,20,19,12.6,81,10.8,0.0,24140.0
2024-04-16 02:16:03,20,19,12.6,81,11.1,0.0,24140.0
2024-04-16 02:34:08,20,19,12.6,81,11.2,0.0,24140.0
2024-04-16 03:09:23,20,20,12.7,81,11.4,0.0,11200.0
2024-04-16 03:32:08,20,19,12.8,81,11.6,0.0,11200.0
