date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:15,20,2,16.8,59,16.2,0.0,24140.0
2024-04-13 23:10:10,20,3,15.8,61,15.0,0.0,24140.0
2024-04-13 23:32:28,20,3,16.1,59,15.4,0.0,24140.0
2024-04-14 00:30:32,20,2,16.1,57,15.4,0.0,24140.0
2024-04-14 01:59:39,20,2,14.2,62,13.4,0.0,24140.0
2024-04-14 03:14:29,20,2,12.6,70,11.8,0.0,24140.0
2024-04-14 03:58:53,20,2,13.6,62,12.7,0.0,24140.0
2024-04-14 04:35:40,20,3,12.4,64,11.1,0.0,24140.0
2024-04-14 05:54:35,20,3,11.5,79,10.6,0.0,24140.0
2024-04-14 06:20:33,20,3,12.0,80,11.3,0.0,24140.0
2024-04-14 08:05:33,20,3,18.8,74,19.5,0.0,24140.0
2024-04-14 08:47:43,20,3,21.6,66,23.1,0.0,24140.0
2024-04-14 11:16:54,20,0,27.8,37,28.4,0.0,24140.0
2024-04-14 14:33:16,20,4,30.5,24,28.6,0.0,24140.0
2024-04-14 21:07:31,20,4,18.3,55,17.7,0.0,24140.0
2024-04-14 23:30:17,20,4,16.5,50,15.3,0.0,24140.0
2024-04-15 00:11:09,20,4,15.6,55,14.6,0.0,24140.0
2024-04-15 03:42:04,20,4,14.1,62,13.0,0.0,24140.0
2024-04-15 04:25:03,20,4,13.9,64,12.9,0.0,24140.0
2024-04-15 04:40:23,20,4,14.1,60,12.8,0.0,24140.0
2024-04-15 05:07:31,20,5,14.3,59,13.1,0.0,24140.0
2024-04-15 05:32:16,20,8,14.1,65,13.1,0.0,24140.0
2024-04-15 06:10:05,20,9,13.7,72,13.1,0.0,24140.0
2024-04-15 06:32:21,20,9,15.3,70,14.8,0.0,24140.0
2024-04-15 07:04:34,20,12,17.0,66,16.6,0.0,24140.0
2024-04-15 07:32:37,20,15,20.5,53,19.7,0.0,24140.0
2024-04-15 08:08:45,20,15,22.4,45,21.4,0.0,24140.0
2024-04-15 08:32:15,20,17,24.2,40,23.7,0.0,24140.0
2024-04-15 09:05:19,20,15,25.4,38,25.5,0.0,24140.0
2024-04-15 09:33:29,20,12,26.4,36,26.4,0.0,24140.0
2024-04-15 10:06:21,20,12,26.9,35,26.7,0.0,24140.0
2024-04-15 10:32:03,20,12,27.2,35,27.7,0.0,24140.0
2024-04-15 11:03:49,20,14,27.9,34,27.9,0.0,24140.0
2024-04-15 11:32:27,20,13,27.9,33,27.1,0.0,24140.0
2024-04-15 12:13:26,20,12,27.7,33,26.3,0.0,24140.0
2024-04-15 12:42:33,20,14,27.6,31,25.6,0.0,24140.0
2024-04-15 13:08:27,20,13,27.6,30,25.0,0.0,24140.0
2024-04-15 13:32:36,20,13,27.1,30,24.4,0.0,24140.0
2024-04-15 14:05:15,20,13,26.8,32,24.1,0.0,24140.0
2024-04-15 14:32:39,20,10,25.8,31,22.7,0.0,24140.0
2024-04-15 15:04:41,20,9,24.9,29,21.3,0.0,24140.0
2024-04-15 15:32:49,20,8,24.0,29,19.7,0.0,24140.0
2024-04-15 16:08:24,20,11,23.2,30,18.4,0.0,24140.0
2024-04-15 16:32:27,20,11,22.4,38,17.5,0.0,24140.0
2024-04-15 17:05:58,20,11,21.9,39,16.7,0.0,24140.0
2024-04-15 17:32:25,20,10,21.3,39,16.3,0.0,24140.0
2024-04-15 18:10:05,20,10,20.9,39,16.3,0.0,24140.0
2024-04-15 18:35:55,20,12,20.5,38,16.4,0.0,24140.0
