date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:04,20,20,15.8,61,15.0,0.0,24140.0
2024-04-13 23:10:06,20,20,15.1,65,14.4,0.0,24140.0
2024-04-13 23:32:22,20,20,14.6,69,13.9,0.0,24140.0
2024-04-14 00:30:25,20,20,13.5,73,12.8,0.0,24140.0
2024-04-14 01:59:35,20,20,12.6,74,11.7,0.0,24140.0
2024-04-14 03:14:25,20,20,13.2,68,12.4,0.0,24140.0
2024-04-14 03:58:49,20,20,12.1,74,11.4,0.0,24140.0
2024-04-14 04:35:36,20,19,11.4,78,10.4,0.0,24140.0
2024-04-14 05:54:31,20,20,12.2,73,11.1,0.0,24140.0
2024-04-14 06:20:29,20,20,13.1,71,12.1,0.0,24140.0
2024-04-14 08:05:27,20,16,18.5,63,18.2,0.0,24140.0
2024-04-14 08:47:39,20,13,21.5,61,22.6,0.0,24140.0
2024-04-14 11:16:49,20,19,27.8,36,28.8,0.0,24140.0
2024-04-14 14:33:10,20,20,30.8,23,29.4,0.0,24140.0
2024-04-14 21:07:24,20,13,17.3,64,16.9,0.0,24140.0
2024-04-14 23:30:10,20,15,15.7,58,14.8,0.0,24140.0
2024-04-15 00:11:05,20,15,15.9,56,15.1,0.0,24140.0
2024-04-15 03:41:58,20,15,12.4,78,11.7,0.0,24140.0
2024-04-15 04:24:57,20,14,12.4,75,11.6,0.0,24140.0
2024-04-15 04:40:19,20,11,12.1,74,11.4,0.0,24140.0
2024-04-15 05:07:27,20,4,12.5,70,11.7,0.0,24140.0
2024-04-15 05:32:12,20,9,13.1,71,12.3,0.0,24140.0
2024-04-15 06:09:58,20,4,13.4,72,12.6,0.0,24140.0
2024-04-15 06:32:14,20,2,15.4,66,14.5,0.0,24140.0
2024-04-15 07:04:30,20,9,17.2,59,16.2,0.0,24140.0
2024-04-15 07:32:32,20,2,20.1,49,18.9,0.0,24140.0
2024-04-15 08:08:41,20,11,22.0,47,21.0,0.0,24140.0
2024-04-15 08:32:09,20,12,23.8,42,23.3,0.0,24140.0
2024-04-15 09:05:12,20,12,25.0,38,24.8,0.0,24140.0
2024-04-15 09:33:25,20,2,26.2,35,26.3,0.0,24140.0
2024-04-15 10:06:16,20,2,27.0,33,27.3,0.0,24140.0
2024-04-15 10:31:59,20,13,26.9,35,28.1,0.0,24140.0
2024-04-15 11:03:43,20,12,27.5,34,28.5,0.0,24140.0
2024-04-15 11:32:21,20,11,27.9,32,27.5,0.0,24140.0
2024-04-15 12:13:20,20,8,28.1,30,26.6,0.0,24140.0
2024-04-15 12:42:28,20,5,28.1,29,26.1,0.0,24140.0
2024-04-15 13:08:20,20,10,28.1,29,25.6,0.0,24140.0
2024-04-15 13:32:29,20,20,27.5,28,24.7,0.0,24140.0
2024-04-15 14:05:08,20,20,27.0,30,24.4,0.0,24140.0
2024-04-15 14:32:33,20,11,26.3,29,23.5,0.0,24140.0
2024-04-15 15:04:37,20,15,25.6,27,22.6,0.0,24140.0
2024-04-15 15:32:43,20,15,24.7,27,21.5,0.0,24140.0
2024-04-15 16:08:19,20,19,24.0,27,20.7,0.0,24140.0
2024-04-15 16:32:23,20,17,23.0,35,20.3,0.0,24140.0
2024-04-15 17:05:54,20,19,22.5,37,19.7,0.0,24140.0
2024-04-15 17:32:19,20,14,21.9,37,19.4,0.0,24140.0
2024-04-15 18:10:00,20,15,21.5,37,19.3,0.0,24140.0
2024-04-15 18:35:50,20,10,21.0,37,19.0,0.0,24140.0
2024-04-15 19:04:15,20,13,20.6,37,18.6,0.0,24140.0
2024-04-15 19:32:05,20,15,20.5,39,18.2,0.0,24140.0
2024-04-15 20:08:05,20,16,20.0,41,17.8,0.0,24140.0
2024-04-15 20:32:48,20,17,19.1,45,17.6,0.0,24140.0
2024-04-15 21:07:49,20,18,18.3,48,16.5,0.0,24140.0
2024-04-15 21:32:37,20,19,17.1,54,15.3,0.0,24140.0
2024-04-15 22:05:02,20,18,16.2,60,14.4,0.0,24140.0
2024-04-15 22:32:08,20,18,17.4,53,15.9,0.0,24140.0
2024-04-15 23:05:25,20,19,15.6,62,13.9,0.0,24140.0
2024-04-15 23:32:18,20,18,14.4,70,12.5,0.0,24140.0
2024-04-16 00:30:13,20,18,12.9,79,10.9,0.0,24140.0
2024-04-16 01:33:45,20,19,13.0,80,11.6,0.0,24140.0
2024-04-16 02:15:54,20,19,12.9,80,11.9,0.0,24140.0
2024-04-16 02:34:01,20,19,12.9,81,11.9,0.0,24140.0
2024-04-16 03:09:17,20,16,12.6,81,11.6,0.0,11200.0
2024-04-16 03:32:03,20,16,12.8,81,11.8,0.0,11200.0
2024-04-16 04:09:06,20,14,12.9,80,12.0,0.0,11640.0
2024-04-16 04:32:22,20,11,13.1,81,12.2,0.0,11640.0
2024-04-16 05:08:11,20,11,13.2,81,12.1,0.0,10120.0
2024-04-16 05:32:21,20,2,13.1,83,12.1,0.0,10120.0
2024-04-16 06:09:32,20,6,13.0,85,11.7,0.0,18480.0
2024-04-16 06:33:24,20,4,12.8,85,11.5,0.0,18480.0
2024-04-16 07:08:15,20,9,12.6,85,11.1,0.0,7540.0
2024-04-16 07:33:29,20,5,9.9,82,7.6,0.0,7540.0
2024-04-16 08:09:20,20,4,8.2,81,5.5,0.0,6260.0
2024-04-16 08:32:11,20,5,7.7,82,4.7,0.0,6260.0
2024-04-16 09:07:44,20,5,7.4,84,4.4,0.0,320.0
2024-04-16 09:32:50,20,5,7.5,82,4.8,0.0,320.0
2024-04-16 10:07:51,20,7,7.6,79,4.4,0.0,60.0
2024-04-16 10:33:05,20,6,7.1,79,3.8,0.0,60.0
2024-04-16 11:04:44,20,5,6.6,81,3.4,0.0,60.0
2024-04-16 11:32:22,20,6,5.7,82,2.4,0.0,60.0
2024-04-16 12:11:48,20,5,4.8,82,1.5,0.0,100.0
2024-04-16 12:46:01,20,6,4.0,84,1.1,0.0,100.0
2024-04-16 13:09:49,20,7,3.8,85,1.1,0.0,80.0
2024-04-16 13:32:15,20,7,3.2,88,1.0,0.2,80.0
2024-04-16 14:07:59,20,8,3.0,88,0.4,0.4,60.0
2024-04-16 14:32:21,20,8,3.5,86,0.8,0.1,60.0
2024-04-16 15:07:16,20,8,4.0,84,1.3,0.1,60.0
2024-04-16 15:32:18,20,9,4.6,82,2.0,0.3,60.0
2024-04-16 16:11:31,20,8,5.1,80,2.5,0.2,100.0
2024-04-16 16:34:25,20,9,3.5,87,0.5,0.2,100.0
2024-04-16 17:05:06,20,11,3.3,88,0.1,0.3,200.0
2024-04-16 17:33:02,20,10,3.3,87,0.2,0.0,240.0
2024-04-16 18:08:57,20,9,3.4,85,0.4,0.0,140.0
2024-04-16 18:32:24,20,13,3.8,84,0.8,0.0,140.0
2024-04-16 19:02:50,20,15,4.1,83,1.2,0.0,320.0
2024-04-16 19:32:06,20,17,4.0,84,1.6,0.0,320.0
2024-04-16 20:07:38,20,16,4.1,84,1.5,0.1,5080.0
2024-04-16 20:32:15,20,15,4.2,84,1.7,0.1,5080.0
2024-04-16 21:05:48,20,14,4.2,84,1.9,0.0,10820.0
2024-04-16 21:32:15,20,14,4.3,83,2.5,0.0,10820.0
2024-04-16 22:05:23,20,13,4.5,82,2.4,0.0,10900.0
2024-04-16 22:33:16,20,13,4.4,85,2.3,0.0,10900.0
2024-04-16 23:08:42,20,13,4.6,86,2.5,0.0,10780.0
2024-04-16 23:32:18,20,13,4.6,85,2.5,0.0,10560.0
2024-04-17 00:30:32,20,11,4.3,85,2.1,0.0,10580.0
2024-04-17 01:34:01,20,11,3.5,91,1.2,0.0,14300.0
2024-04-17 02:17:26,20,11,2.7,95,0.3,0.0,24140.0
2024-04-17 02:38:03,20,9,2.5,95,0.2,0.0,24140.0
2024-04-17 03:07:37,20,9,2.4,95,0.1,0.0,18980.0
2024-04-17 03:32:38,20,9,2.3,96,0.0,0.0,18980.0
2024-04-17 04:10:16,20,10,2.2,97,-0.1,0.0,24140.0
2024-04-17 04:32:47,20,10,2.0,97,-0.2,0.0,24140.0
2024-04-17 05:07:05,20,8,1.9,97,-0.5,0.0,24140.0
2024-04-17 05:32:28,20,0,2.7,92,0.4,0.0,24140.0
2024-04-17 06:10:58,20,0,3.5,88,1.2,0.0,24140.0
2024-04-17 06:35:45,20,0,5.2,81,3.2,0.0,24140.0
2024-04-17 07:06:35,20,0,6.6,76,4.8,0.0,24140.0
2024-04-17 07:32:23,20,12,7.0,76,4.7,0.0,24140.0
2024-04-17 08:09:27,20,7,7.8,75,5.7,0.0,24140.0
2024-04-17 08:32:18,20,6,9.2,67,7.7,0.0,24140.0
2024-04-17 09:07:10,20,5,10.5,60,9.0,0.0,20360.0
2024-04-17 09:32:09,20,5,11.2,54,9.1,0.0,20360.0
2024-04-17 10:07:34,20,2,11.6,50,9.2,0.0,19600.0
2024-04-17 10:33:21,20,9,11.4,57,9.6,0.0,19600.0
2024-04-17 11:05:26,20,10,11.9,55,10.1,0.0,17880.0
2024-04-17 11:32:40,20,14,12.4,51,10.5,0.0,14980.0
2024-04-17 12:12:16,20,4,12.8,47,10.4,0.0,17880.0
2024-04-17 12:45:59,20,5,13.3,44,10.6,0.0,17880.0
2024-04-17 13:07:20,20,14,13.4,44,9.9,0.0,14620.0
2024-04-17 13:32:15,20,20,13.1,47,9.7,0.0,14620.0
2024-04-17 14:08:27,20,17,12.9,50,9.3,0.0,14340.0
2024-04-17 14:32:10,20,18,12.3,53,9.6,0.0,14340.0
2024-04-17 15:07:32,20,10,11.6,56,9.5,0.0,12320.0
2024-04-17 15:32:34,20,8,10.5,63,8.6,0.0,12320.0
2024-04-17 16:08:53,20,12,9.6,70,6.9,0.0,12480.0
2024-04-17 16:37:35,20,9,10.8,69,9.3,0.0,12480.0
2024-04-17 17:04:28,20,9,9.9,81,7.9,0.0,22980.0
2024-04-17 17:32:10,20,9,9.6,82,8.1,0.0,22980.0
2024-04-17 18:09:27,20,13,9.6,80,8.4,0.0,21300.0
2024-04-17 18:32:37,20,11,9.1,73,7.7,0.0,21300.0
2024-04-17 19:04:02,20,8,8.6,67,6.6,0.0,22040.0
2024-04-17 19:32:05,20,8,8.8,77,6.7,0.0,22040.0
2024-04-17 20:07:48,20,10,8.4,78,6.2,0.0,24140.0
2024-04-17 20:32:43,20,10,8.2,75,6.0,0.0,24140.0
2024-04-17 21:08:08,20,9,8.2,71,5.9,0.0,24140.0
2024-04-17 21:32:23,20,9,8.2,64,5.5,0.0,24140.0
2024-04-17 22:05:03,20,12,8.3,58,5.1,0.0,24140.0
