date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:14,20,16,15.6,61,14.9,0.0,24140.0
2024-04-13 23:10:09,20,19,15.1,65,14.3,0.0,24140.0
2024-04-13 23:32:27,20,20,14.4,69,13.8,0.0,24140.0
2024-04-14 00:30:31,20,19,13.4,73,12.8,0.0,24140.0
2024-04-14 01:59:39,20,19,12.5,74,11.7,0.0,24140.0
2024-04-14 03:14:29,20,20,13.2,68,12.3,0.0,24140.0
2024-04-14 03:58:53,20,20,12.1,74,11.3,0.0,24140.0
2024-04-14 04:35:39,20,19,11.3,78,10.4,0.0,24140.0
2024-04-14 05:54:35,20,18,12.1,73,11.0,0.0,24140.0
2024-04-14 06:20:33,20,18,13.1,71,12.0,0.0,24140.0
2024-04-14 08:05:32,20,19,18.4,63,18.2,0.0,24140.0
2024-04-14 08:47:43,20,18,21.5,61,22.5,0.0,24140.0
2024-04-14 11:16:53,20,15,27.8,36,28.7,0.0,24140.0
2024-04-14 14:33:15,20,20,30.8,23,29.4,0.0,24140.0
2024-04-14 21:07:30,20,16,17.2,64,16.8,0.0,24140.0
2024-04-14 23:30:16,20,14,15.6,58,14.7,0.0,24140.0
2024-04-15 00:11:08,20,15,15.9,56,15.0,0.0,24140.0
2024-04-15 03:42:03,20,16,12.4,78,11.6,0.0,24140.0
2024-04-15 04:25:02,20,17,12.3,75,11.6,0.0,24140.0
2024-04-15 04:40:23,20,18,12.1,74,11.3,0.0,24140.0
2024-04-15 05:07:30,20,19,12.4,70,11.6,0.0,24140.0
2024-04-15 05:32:15,20,10,12.9,71,12.1,0.0,24140.0
2024-04-15 06:10:04,20,15,13.4,72,12.5,0.0,24140.0
2024-04-15 06:32:20,20,13,15.4,66,14.5,0.0,24140.0
2024-04-15 07:04:33,20,7,17.1,59,16.2,0.0,24140.0
2024-04-15 07:32:36,20,8,20.0,49,18.8,0.0,24140.0
2024-04-15 08:08:45,20,8,22.0,47,21.0,0.0,24140.0
2024-04-15 08:32:14,20,7,23.7,42,23.2,0.0,24140.0
2024-04-15 09:05:18,20,6,25.0,38,24.7,0.0,24140.0
2024-04-15 09:33:28,20,8,26.1,35,26.2,0.0,24140.0
2024-04-15 10:06:20,20,16,26.9,33,27.2,0.0,24140.0
2024-04-15 10:32:03,20,18,26.8,35,28.0,0.0,24140.0
2024-04-15 11:03:48,20,19,27.5,34,28.4,0.0,24140.0
2024-04-15 11:32:26,20,11,27.9,32,27.5,0.0,24140.0
2024-04-15 12:13:25,20,18,28.0,30,26.5,0.0,24140.0
2024-04-15 12:42:32,20,11,28.1,29,26.0,0.0,24140.0
2024-04-15 13:08:26,20,19,28.0,29,25.6,0.0,24140.0
2024-04-15 13:32:35,20,10,27.5,28,24.7,0.0,24140.0
2024-04-15 14:05:14,20,16,27.0,30,24.3,0.0,24140.0
2024-04-15 14:32:38,20,15,26.2,29,23.4,0.0,24140.0
2024-04-15 15:04:40,20,17,25.5,27,22.6,0.0,24140.0
2024-04-15 15:32:48,20,17,24.6,27,21.5,0.0,24140.0
2024-04-15 16:08:23,20,20,24.0,27,20.7,0.0,24140.0
2024-04-15 16:32:26,20,19,23.0,35,20.2,0.0,24140.0
2024-04-15 17:05:58,20,14,22.4,37,19.7,0.0,24140.0
2024-04-15 17:32:24,20,15,21.8,37,19.3,0.0,24140.0
2024-04-15 18:10:04,20,15,21.4,37,19.2,0.0,24140.0
2024-04-15 18:35:54,20,16,20.9,37,18.8,0.0,24140.0
2024-04-15 19:04:21,20,19,20.5,37,18.5,0.0,24140.0
2024-04-15 19:32:10,20,17,20.4,39,18.1,0.0,24140.0
2024-04-15 20:08:09,20,18,20.0,41,17.7,0.0,24140.0
2024-04-15 20:32:52,20,18,19.0,45,17.5,0.0,24140.0
2024-04-15 21:07:52,20,19,18.2,48,16.5,0.0,24140.0
2024-04-15 21:32:42,20,20,17.1,54,15.2,0.0,24140.0
2024-04-15 22:05:07,20,20,16.1,60,14.4,0.0,24140.0
2024-04-15 22:32:11,20,20,17.4,53,15.8,0.0,24140.0
2024-04-15 23:05:28,20,20,15.6,62,13.8,0.0,24140.0
2024-04-15 23:32:22,20,20,14.3,70,12.4,0.0,24140.0
2024-04-16 00:30:18,20,20,12.9,79,10.8,0.0,24140.0
2024-04-16 01:33:48,20,20,12.9,80,11.5,0.0,24140.0
2024-04-16 02:16:00,20,20,12.9,80,11.8,0.0,24140.0
2024-04-16 02:34:06,20,20,12.8,81,11.8,0.0,24140.0
2024-04-16 03:09:21,20,20,12.6,81,11.5,0.0,11200.0
2024-04-16 03:32:07,20,20,12.7,81,11.8,0.0,11200.0
2024-04-16 04:09:10,20,20,12.8,80,12.0,0.0,11640.0
2024-04-16 04:32:27,20,20,13.1,81,12.2,0.0,11640.0
2024-04-16 05:08:14,20,16,13.2,81,12.1,0.0,10120.0
2024-04-16 05:32:25,20,6,13.1,83,12.1,0.0,10120.0
2024-04-16 06:09:36,20,2,12.9,85,11.7,0.0,18480.0
2024-04-16 06:33:28,20,1,12.8,85,11.4,0.0,18480.0
2024-04-16 07:08:21,20,1,12.6,85,11.0,0.0,7540.0
2024-04-16 07:33:33,20,2,9.9,82,7.5,0.0,7540.0
2024-04-16 08:09:24,20,3,8.2,81,5.5,0.0,6260.0
2024-04-16 08:32:15,20,2,7.6,82,4.7,0.0,6260.0
2024-04-16 09:07:50,20,6,7.4,84,4.4,0.0,320.0
2024-04-16 09:32:55,20,6,7.4,82,4.8,0.0,320.0
2024-04-16 10:07:54,20,6,7.6,79,4.3,0.0,60.0
2024-04-16 10:33:09,20,7,7.0,79,3.8,0.0,60.0
2024-04-16 11:04:48,20,9,6.6,81,3.3,0.0,60.0
2024-04-16 11:32:26,20,9,5.6,82,2.3,0.0,60.0
2024-04-16 12:11:52,20,6,4.8,82,1.4,0.0,100.0
2024-04-16 12:46:05,20,7,3.9,84,1.1,0.0,100.0
2024-04-16 13:09:53,20,8,3.8,85,1.1,0.0,80.0
2024-04-16 13:32:18,20,9,3.2,88,0.9,0.2,80.0
2024-04-16 14:08:02,20,11,3.0,88,0.3,0.4,60.0
2024-04-16 14:32:25,20,11,3.5,86,0.7,0.1,60.0
2024-04-16 15:07:21,20,12,4.0,84,1.3,0.1,60.0
2024-04-16 15:32:22,20,12,4.6,82,2.0,0.3,60.0
2024-04-16 16:11:35,20,12,5.0,80,2.4,0.2,100.0
2024-04-16 16:34:29,20,13,3.5,87,0.4,0.2,100.0
2024-04-16 17:05:10,20,13,3.2,88,0.0,0.3,200.0
2024-04-16 17:33:06,20,15,3.2,87,0.1,0.0,240.0
2024-04-16 18:09:03,20,14,3.3,85,0.3,0.0,140.0
2024-04-16 18:32:28,20,14,3.7,84,0.8,0.0,140.0
2024-04-16 19:02:56,20,14,4.0,83,1.1,0.0,320.0
2024-04-16 19:32:09,20,14,3.9,84,1.4,0.0,320.0
2024-04-16 20:07:42,20,14,4.0,84,1.4,0.1,5080.0
2024-04-16 20:32:20,20,15,4.1,84,1.6,0.1,5080.0
2024-04-16 21:05:53,20,15,4.1,84,1.9,0.0,10820.0
2024-04-16 21:32:21,20,16,4.3,83,2.4,0.0,10820.0
2024-04-16 22:05:27,20,16,4.4,82,2.3,0.0,10900.0
2024-04-16 22:33:20,20,16,4.3,85,2.2,0.0,10900.0
2024-04-16 23:08:46,20,16,4.5,86,2.4,0.0,10780.0
2024-04-16 23:32:24,20,16,4.6,85,2.5,0.0,10560.0
2024-04-17 00:30:36,20,16,4.3,85,2.0,0.0,10580.0
2024-04-17 01:34:04,20,17,3.4,91,1.1,0.0,14300.0
2024-04-17 02:17:29,20,17,2.6,95,0.2,0.0,24140.0
2024-04-17 02:38:09,20,17,2.5,95,0.1,0.0,24140.0
2024-04-17 03:07:40,20,17,2.3,95,0.0,0.0,18980.0
2024-04-17 03:32:43,20,17,2.2,96,-0.1,0.0,18980.0
2024-04-17 04:10:19,20,16,2.2,97,-0.1,0.0,24140.0
2024-04-17 04:32:51,20,17,2.0,97,-0.3,0.0,24140.0
2024-04-17 05:07:09,20,11,1.8,97,-0.5,0.0,24140.0
2024-04-17 05:32:32,20,5,2.7,92,0.3,0.0,24140.0
2024-04-17 06:11:03,20,1,3.5,88,1.1,0.0,24140.0
2024-04-17 06:35:48,20,2,5.2,81,3.2,0.0,24140.0
2024-04-17 07:06:41,20,1,6.6,76,4.7,0.0,24140.0
2024-04-17 07:32:29,20,1,6.9,76,4.6,0.0,24140.0
2024-04-17 08:09:31,20,5,7.7,75,5.6,0.0,24140.0
2024-04-17 08:32:24,20,7,9.2,67,7.6,0.0,24140.0
2024-04-17 09:07:13,20,7,10.4,60,8.9,0.0,20360.0
2024-04-17 09:32:14,20,11,11.1,54,9.0,0.0,20360.0
2024-04-17 10:07:37,20,14,11.5,50,9.2,0.0,19600.0
2024-04-17 10:33:26,20,17,11.4,57,9.6,0.0,19600.0
2024-04-17 11:05:29,20,14,11.9,55,10.1,0.0,17880.0
2024-04-17 11:32:46,20,14,12.4,51,10.4,0.0,14980.0
2024-04-17 12:12:22,20,17,12.8,47,10.3,0.0,17880.0
2024-04-17 12:46:05,20,19,13.2,44,10.5,0.0,17880.0
2024-04-17 13:07:23,20,18,13.4,44,9.9,0.0,14620.0
2024-04-17 13:32:18,20,11,13.1,47,9.7,0.0,14620.0
2024-04-17 14:08:31,20,14,12.9,50,9.3,0.0,14340.0
2024-04-17 14:32:14,20,17,12.2,53,9.4,0.0,14340.0
2024-04-17 15:07:35,20,19,11.6,56,9.5,0.0,12320.0
2024-04-17 15:32:38,20,20,10.4,63,8.5,0.0,12320.0
2024-04-17 16:08:57,20,14,9.5,70,6.9,0.0,12480.0
2024-04-17 16:37:41,20,14,10.8,69,9.2,0.0,12480.0
2024-04-17 17:04:32,20,15,9.9,81,7.8,0.0,22980.0
2024-04-17 17:32:14,20,17,9.6,82,8.1,0.0,22980.0
2024-04-17 18:09:30,20,17,9.5,80,8.3,0.0,21300.0
2024-04-17 18:32:41,20,18,9.0,73,7.7,0.0,21300.0
2024-04-17 19:04:08,20,20,8.5,67,6.5,0.0,22040.0
2024-04-17 19:32:08,20,20,8.6,77,6.6,0.0,22040.0
2024-04-17 20:07:53,20,19,8.4,78,6.2,0.0,24140.0
2024-04-17 20:32:47,20,19,8.2,75,6.0,0.0,24140.0
2024-04-17 21:08:12,20,19,8.1,71,5.9,0.0,24140.0
2024-04-17 21:32:26,20,20,8.2,64,5.4,0.0,24140.0
2024-04-17 22:05:07,20,19,8.2,58,5.0,0.0,24140.0
2024-04-17 22:32:23,20,18,7.8,63,4.8,0.0,24140.0
2024-04-17 23:06:38,20,20,7.6,69,4.8,0.0,24140.0
2024-04-17 23:32:26,20,20,7.5,68,4.6,0.0,24140.0
2024-04-18 00:30:13,20,20,7.4,66,5.0,0.0,24140.0
2024-04-18 01:33:49,20,20,6.6,76,4.2,0.0,24140.0
2024-04-18 02:16:13,20,20,5.9,80,3.6,0.0,24140.0
2024-04-18 02:38:14,20,20,5.7,82,3.5,0.0,24140.0
2024-04-18 03:08:03,20,20,5.3,84,3.4,0.0,24140.0
2024-04-18 03:32:17,20,20,5.2,85,3.2,0.0,24140.0
2024-04-18 04:08:46,20,20,5.2,85,3.1,0.0,24140.0
2024-04-18 04:32:26,20,19,5.4,87,3.2,0.0,24140.0
2024-04-18 05:08:15,20,14,5.6,85,3.2,0.0,24140.0
2024-04-18 05:32:16,20,10,6.2,81,3.9,0.0,24140.0
2024-04-18 06:09:58,20,4,6.8,78,4.8,0.0,24140.0
2024-04-18 06:34:08,20,2,7.4,76,5.8,0.0,24140.0
2024-04-18 07:08:16,20,5,7.8,75,6.0,0.0,24140.0
2024-04-18 07:32:13,20,6,8.2,74,6.3,0.0,24140.0
2024-04-18 08:10:19,20,6,8.8,70,7.0,0.0,17880.0
2024-04-18 08:33:18,20,5,9.4,66,7.5,0.0,17880.0
2024-04-18 09:08:12,20,4,10.0,63,7.8,0.0,13560.0
2024-04-18 09:32:16,20,5,10.4,60,7.8,0.0,13560.0
2024-04-18 10:09:53,20,7,10.6,57,7.7,0.0,13960.0
2024-04-18 10:36:31,20,8,10.6,55,8.0,0.0,13960.0
2024-04-18 11:03:47,20,9,11.1,53,8.1,0.0,17680.0
2024-04-18 11:32:19,20,9,9.6,61,6.9,0.0,15460.0
2024-04-18 12:11:35,20,12,8.0,69,5.2,0.0,9380.0
2024-04-18 12:44:55,20,14,8.4,69,5.5,0.0,9380.0
2024-04-18 13:07:14,20,17,9.1,66,6.0,0.0,6780.0
2024-04-18 13:32:14,20,20,9.9,59,7.4,0.0,6780.0
2024-04-18 14:06:00,20,20,10.0,56,7.6,0.0,6840.0
2024-04-18 14:33:38,20,16,10.4,55,8.3,0.0,6840.0
2024-04-18 15:07:52,20,17,10.8,54,8.9,0.0,13360.0
2024-04-18 15:32:06,20,16,10.6,54,8.1,0.0,13360.0
2024-04-18 16:08:29,20,17,10.4,55,7.1,0.0,22980.0
2024-04-18 16:35:25,20,15,10.3,56,7.7,0.0,22980.0
2024-04-18 17:04:47,20,14,10.1,58,7.5,0.0,24140.0
2024-04-18 17:32:05,20,13,9.6,62,7.0,0.0,24140.0
2024-04-18 18:09:01,20,14,9.1,66,6.5,0.0,24140.0
2024-04-18 18:32:51,20,14,8.3,71,5.9,0.0,24140.0
2024-04-18 19:03:39,20,14,7.7,74,5.4,0.0,24140.0
2024-04-18 19:32:32,20,14,7.5,78,5.4,0.0,24140.0
2024-04-18 20:08:02,20,15,7.1,82,5.2,0.0,24140.0
2024-04-18 20:32:23,20,14,7.0,81,5.0,0.0,24140.0
2024-04-18 21:06:25,20,14,6.9,79,4.7,0.0,24140.0
2024-04-18 21:34:10,20,14,6.7,79,4.3,0.0,24140.0
2024-04-18 22:04:19,20,13,6.3,80,4.0,0.0,24140.0
2024-04-18 22:32:19,20,13,5.2,90,3.1,0.0,24140.0
2024-04-18 23:08:26,20,13,5.1,89,3.0,0.0,24140.0
2024-04-18 23:32:15,20,13,4.8,87,2.6,0.0,24140.0
2024-04-19 00:30:48,20,13,4.1,85,1.7,0.0,24140.0
2024-04-19 01:34:54,20,14,3.1,83,0.4,0.0,24140.0
2024-04-19 02:23:30,20,14,2.5,85,-0.3,0.0,24140.0
2024-04-19 02:37:14,20,14,2.5,85,-0.3,0.0,24140.0
2024-04-19 03:07:50,20,14,2.5,84,-0.3,0.0,24140.0
2024-04-19 03:32:18,20,14,2.2,86,-0.6,0.0,24140.0
2024-04-19 04:08:32,20,15,2.0,88,-0.8,0.0,24140.0
2024-04-19 04:32:25,20,17,2.2,85,-0.5,0.0,24140.0
2024-04-19 05:08:16,20,15,2.2,87,-0.5,0.0,24140.0
2024-04-19 05:32:24,20,8,3.2,84,0.9,0.0,24140.0
2024-04-19 06:10:19,20,9,4.3,80,2.3,0.0,24140.0
2024-04-19 06:34:12,20,11,5.7,75,3.6,0.0,24140.0
2024-04-19 07:07:42,20,9,6.7,70,4.5,0.0,24140.0
2024-04-19 07:32:20,20,9,8.1,59,5.4,0.0,24140.0
2024-04-19 08:09:56,20,5,8.9,56,6.4,0.0,24140.0
2024-04-19 08:32:28,20,9,9.6,53,7.7,0.0,24140.0
2024-04-19 09:07:18,20,10,10.2,50,8.5,0.0,24140.0
2024-04-19 09:32:27,20,12,10.9,49,9.1,0.0,24140.0
2024-04-19 10:07:32,20,14,11.2,48,9.5,0.0,24140.0
2024-04-19 10:33:51,20,15,11.5,48,10.0,0.0,24140.0
2024-04-19 11:04:29,20,14,11.9,49,10.4,0.0,24140.0
2024-04-19 11:32:14,20,13,12.1,48,10.1,0.0,24140.0
2024-04-19 12:12:17,20,20,12.3,47,9.8,0.0,24140.0
2024-04-19 12:45:17,20,18,11.9,47,8.6,0.0,24140.0
2024-04-19 13:08:47,20,20,11.9,47,8.2,0.0,24140.0
2024-04-19 13:32:17,20,20,12.8,43,9.3,0.0,24140.0
2024-04-19 14:04:02,20,19,13.2,37,9.4,0.0,24140.0
2024-04-19 14:34:30,20,8,13.1,36,9.0,0.0,24140.0
2024-04-19 15:08:12,20,7,12.9,37,8.5,0.0,24140.0
2024-04-19 15:32:30,20,8,12.8,38,8.6,0.0,24140.0
2024-04-19 16:08:42,20,10,12.6,39,8.8,0.0,24140.0
2024-04-19 16:36:30,20,13,12.1,43,7.8,0.0,24140.0
2024-04-19 17:04:45,20,13,11.7,45,7.4,0.0,24140.0
2024-04-19 17:32:19,20,14,11.0,47,6.9,0.0,24140.0
2024-04-19 18:09:16,20,18,10.4,48,6.6,0.0,24140.0
2024-04-19 18:32:07,20,17,9.8,49,6.5,0.0,24140.0
2024-04-19 19:05:59,20,15,9.4,50,6.4,0.0,24140.0
2024-04-19 20:32:30,20,0,8.9,45,6.0,0.0,24140.0
2024-04-19 21:07:11,20,1,8.6,47,5.6,0.0,24140.0
2024-04-19 21:32:32,20,1,7.8,52,5.0,0.0,24140.0
2024-04-19 22:05:10,20,0,7.2,56,4.6,0.0,24140.0
2024-04-19 22:32:24,20,1,6.4,65,4.2,0.0,24140.0
2024-04-19 23:08:18,20,1,6.2,67,3.9,0.0,24140.0
2024-04-19 23:32:12,20,2,5.6,70,3.5,0.0,24140.0
2024-04-20 00:30:12,20,4,5.2,73,2.9,0.0,24140.0
2024-04-20 01:34:03,20,5,5.7,70,3.2,0.0,24140.0
2024-04-20 02:17:16,20,5,6.8,57,3.5,0.0,24140.0
2024-04-20 02:33:23,20,8,6.8,58,3.5,0.0,24140.0
2024-04-20 03:08:05,20,8,6.7,60,3.5,0.0,24140.0
2024-04-20 03:32:16,20,8,5.9,65,3.1,0.0,24140.0
2024-04-20 04:09:12,20,9,5.2,70,2.4,0.0,24140.0
2024-04-20 04:32:47,20,9,5.4,74,2.7,0.0,24140.0
2024-04-20 05:07:46,20,10,4.8,79,2.2,0.0,24140.0
2024-04-20 05:32:13,20,9,5.8,79,3.5,0.0,24140.0
2024-04-20 06:08:18,20,8,6.9,78,4.9,0.0,24140.0
2024-04-20 06:35:01,20,9,8.4,67,6.0,0.0,24140.0
2024-04-20 07:04:51,20,10,9.6,56,6.8,0.0,24140.0
2024-04-20 07:32:17,20,10,10.4,56,7.8,0.0,24140.0
2024-04-20 08:08:22,20,11,10.9,54,8.2,0.0,24140.0
2024-04-20 08:32:34,20,13,11.6,49,8.8,0.0,24140.0
2024-04-20 09:06:07,20,12,12.1,45,9.4,0.0,24140.0
2024-04-20 09:32:02,20,13,12.6,40,9.7,0.0,24140.0
