date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:17,20,7,15.8,61,15.1,0.0,24140.0
2024-04-13 23:10:10,20,7,15.2,65,14.5,0.0,24140.0
2024-04-13 23:32:29,20,7,14.6,69,14.0,0.0,24140.0
2024-04-14 00:30:33,20,8,13.6,73,12.9,0.0,24140.0
2024-04-14 01:59:40,20,8,12.6,74,11.8,0.0,24140.0
2024-04-14 03:14:30,20,8,13.3,68,12.4,0.0,24140.0
2024-04-14 03:58:54,20,8,12.2,74,11.4,0.0,24140.0
2024-04-14 04:35:40,20,8,11.4,78,10.5,0.0,24140.0
2024-04-14 05:54:36,20,7,12.2,73,11.1,0.0,24140.0
2024-04-14 06:20:34,20,7,13.2,71,12.2,0.0,24140.0
2024-04-14 08:05:34,20,3,18.5,63,18.3,0.0,24140.0
2024-04-14 08:47:44,20,4,21.5,61,22.7,0.0,24140.0
2024-04-14 11:16:55,20,0,27.9,36,28.8,0.0,24140.0
2024-04-14 14:33:17,20,2,30.9,23,29.5,0.0,24140.0
2024-04-14 21:07:32,20,0,17.4,64,17.0,0.0,24140.0
2024-04-14 23:30:18,20,0,15.8,58,14.8,0.0,24140.0
2024-04-15 00:11:10,20,0,16.0,56,15.1,0.0,24140.0
2024-04-15 03:42:05,20,0,12.4,78,11.7,0.0,24140.0
2024-04-15 04:25:04,20,0,12.4,75,11.7,0.0,24140.0
2024-04-15 04:40:24,20,0,12.2,74,11.5,0.0,24140.0
2024-04-15 05:07:32,20,0,12.6,70,11.8,0.0,24140.0
2024-04-15 05:32:16,20,0,13.1,71,12.3,0.0,24140.0
2024-04-15 06:10:06,20,0,13.5,72,12.7,0.0,24140.0
2024-04-15 06:32:22,20,8,15.4,66,14.6,0.0,24140.0
2024-04-15 07:04:34,20,8,17.2,59,16.3,0.0,24140.0
2024-04-15 07:32:37,20,8,20.2,49,19.0,0.0,24140.0
2024-04-15 08:08:46,20,6,22.0,47,21.1,0.0,24140.0
