date,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-14 00:23:03,20,11,16.7,59,16.2,0.0,24140.0
2024-04-13 23:10:05,20,11,15.8,61,15.0,0.0,24140.0
2024-04-13 23:32:22,20,12,16.1,59,15.4,0.0,24140.0
2024-04-14 00:30:24,20,12,16.1,57,15.4,0.0,24140.0
2024-04-14 01:59:34,20,12,14.1,62,13.3,0.0,24140.0
2024-04-14 03:14:25,20,11,12.6,70,11.8,0.0,24140.0
2024-04-14 03:58:49,20,11,13.6,62,12.6,0.0,24140.0
2024-04-14 04:35:35,20,13,12.4,64,11.1,0.0,24140.0
2024-04-14 05:54:31,20,11,11.5,79,10.6,0.0,24140.0
2024-04-14 06:20:28,20,11,11.9,80,11.2,0.0,24140.0
2024-04-14 08:05:27,20,14,18.8,74,19.5,0.0,24140.0
2024-04-14 08:47:39,20,15,21.5,66,23.1,0.0,24140.0
2024-04-14 11:16:49,20,13,27.8,37,28.4,0.0,24140.0
2024-04-14 14:33:10,20,19,30.5,24,28.6,0.0,24140.0
2024-04-14 21:07:24,20,20,18.3,55,17.7,0.0,24140.0
2024-04-14 23:30:10,20,20,16.5,50,15.3,0.0,24140.0
2024-04-15 00:11:05,20,20,15.6,55,14.6,0.0,24140.0
2024-04-15 03:41:58,20,20,14.1,62,13.0,0.0,24140.0
2024-04-15 04:24:56,20,19,13.8,64,12.8,0.0,24140.0
2024-04-15 04:40:19,20,20,14.0,60,12.7,0.0,24140.0
2024-04-15 05:07:27,20,20,14.3,59,13.1,0.0,24140.0
2024-04-15 05:32:12,20,20,14.0,65,13.0,0.0,24140.0
2024-04-15 06:09:57,20,20,13.7,72,13.1,0.0,24140.0
2024-04-15 06:32:14,20,19,15.3,70,14.8,0.0,24140.0
2024-04-15 07:04:29,20,20,17.0,66,16.6,0.0,24140.0
2024-04-15 07:32:32,20,13,20.4,53,19.6,0.0,24140.0
2024-04-15 08:08:40,20,13,22.4,45,21.4,0.0,24140.0
2024-04-15 08:32:09,20,13,24.1,40,23.7,0.0,24140.0
2024-04-15 09:05:12,20,15,25.4,38,25.5,0.0,24140.0
2024-04-15 09:33:24,20,16,26.3,36,26.3,0.0,24140.0
2024-04-15 10:06:15,20,14,26.9,35,26.7,0.0,24140.0
2024-04-15 10:31:59,20,13,27.2,35,27.7,0.0,24140.0
2024-04-15 11:03:43,20,13,27.9,34,27.9,0.0,24140.0
2024-04-15 11:32:20,20,11,27.9,33,27.1,0.0,24140.0
2024-04-15 12:13:20,20,9,27.7,33,26.3,0.0,24140.0
2024-04-15 12:42:28,20,11,27.6,31,25.6,0.0,24140.0
2024-04-15 13:08:20,20,8,27.6,30,25.0,0.0,24140.0
2024-04-15 13:32:29,20,2,27.1,30,24.3,0.0,24140.0
2024-04-15 14:05:08,20,11,26.8,32,24.1,0.0,24140.0
2024-04-15 14:32:32,20,14,25.8,31,22.7,0.0,24140.0
2024-04-15 15:04:36,20,13,24.9,29,21.3,0.0,24140.0
2024-04-15 15:32:43,20,13,23.9,29,19.6,0.0,24140.0
2024-04-15 16:08:19,20,10,23.2,30,18.4,0.0,24140.0
2024-04-15 16:32:23,20,6,22.4,38,17.5,0.0,24140.0
2024-04-15 17:05:54,20,7,21.9,39,16.7,0.0,24140.0
2024-04-15 17:32:19,20,6,21.3,39,16.3,0.0,24140.0
2024-04-15 18:10:00,20,6,20.9,39,16.3,0.0,24140.0
2024-04-15 18:35:49,20,6,20.5,38,16.4,0.0,24140.0
2024-04-15 19:04:15,20,5,20.4,37,16.5,0.0,24140.0
2024-04-15 19:32:04,20,3,20.5,37,16.6,0.0,24140.0
2024-04-15 20:08:05,20,4,20.7,37,16.9,0.0,24140.0
2024-04-15 20:32:48,20,3,20.4,41,17.6,0.0,24140.0
2024-04-15 21:07:49,20,2,20.0,44,18.3,0.0,24140.0
2024-04-15 21:32:36,20,2,19.5,46,17.7,0.0,24140.0
2024-04-15 22:05:01,20,2,19.1,48,17.1,0.0,24140.0
2024-04-15 22:32:08,20,2,18.8,45,15.7,0.0,24140.0
2024-04-15 23:05:25,20,2,18.8,45,16.6,0.0,24140.0
2024-04-15 23:32:18,20,2,16.4,60,15.4,0.0,24140.0
2024-04-16 00:30:12,20,2,12.9,79,11.2,0.0,24140.0
2024-04-16 01:33:44,20,2,12.8,81,11.0,0.0,24140.0
2024-04-16 02:15:54,20,2,12.7,81,11.2,0.0,24140.0
2024-04-16 02:34:00,20,2,12.6,81,11.0,0.0,24140.0
2024-04-16 03:09:17,20,2,12.5,81,10.8,0.0,11200.0
2024-04-16 03:32:03,20,2,12.6,80,11.1,0.0,11200.0
2024-04-16 04:09:05,20,1,12.8,79,11.5,0.0,11640.0
2024-04-16 04:32:22,20,1,13.0,80,11.7,0.0,11640.0
2024-04-16 05:08:10,20,4,13.2,81,11.9,0.0,10120.0
2024-04-16 05:32:21,20,8,13.1,83,12.3,0.0,10120.0
2024-04-16 06:09:32,20,10,13.1,84,11.9,0.0,18480.0
2024-04-16 06:33:24,20,13,12.7,85,11.5,0.0,18480.0
2024-04-16 07:08:15,20,15,12.4,86,10.7,0.0,7540.0
2024-04-16 07:33:29,20,16,9.9,84,7.9,0.0,7540.0
2024-04-16 08:09:20,20,16,8.1,81,5.5,0.0,6260.0
2024-04-16 08:32:11,20,16,7.3,83,4.5,0.0,6260.0
2024-04-16 09:07:44,20,16,7.1,85,4.2,0.0,320.0
2024-04-16 09:32:49,20,16,7.1,85,4.4,0.0,320.0
2024-04-16 10:07:51,20,16,7.2,85,4.4,0.0,60.0
2024-04-16 10:33:05,20,14,6.3,82,3.0,0.0,60.0
2024-04-16 11:04:44,20,14,5.2,85,1.6,0.0,60.0
2024-04-16 11:32:22,20,14,4.7,84,1.3,0.0,60.0
2024-04-16 12:11:48,20,14,4.4,83,1.2,0.0,100.0
2024-04-16 12:46:00,20,14,3.8,85,1.0,0.0,100.0
2024-04-16 13:09:49,20,13,3.7,85,0.9,0.0,80.0
2024-04-16 13:32:14,20,12,2.9,88,0.2,0.3,80.0
2024-04-16 14:07:59,20,12,3.0,88,0.1,0.4,60.0
2024-04-16 14:32:21,20,12,3.4,87,0.5,0.0,60.0
2024-04-16 15:07:15,20,11,3.8,85,0.9,0.0,60.0
2024-04-16 15:32:17,20,13,4.4,83,1.9,0.4,60.0
2024-04-16 16:11:30,20,13,4.8,82,2.7,0.1,100.0
2024-04-16 16:34:25,20,13,2.8,89,-0.3,0.1,100.0
2024-04-16 17:05:06,20,13,2.8,89,-0.7,0.1,200.0
2024-04-16 17:33:02,20,13,2.9,87,-0.6,0.0,240.0
2024-04-16 18:08:57,20,11,3.1,85,-0.3,0.0,140.0
2024-04-16 18:32:24,20,12,3.5,83,0.3,0.0,140.0
2024-04-16 19:02:50,20,9,4.0,81,0.8,0.0,320.0
2024-04-16 19:32:05,20,9,3.8,83,1.2,0.0,320.0
