number,name,last_update,bike_stands,available_bike_stands
24,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",2024-04-21 20:42:42,20,3
10,TELEMACH - GLAVNI TRG - STARI PERON,2024-04-21 20:50:39,20,6
9,NKBM - TRG LEONA ŠTUKLJA,2024-04-21 20:50:34,20,18
13,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,2024-04-21 20:50:18,20,20
20,EUROPARK - POBREŠKA C.,2024-04-21 20:44:02,21,7
4,STROSSMAYERJEVA UL. - TRŽNICA,2024-04-21 20:41:40,20,0
1,GOSPOSVETSKA C. - TURNERJEVA UL.,2024-04-21 20:50:37,22,17
16,KOROŠKA C. - KOROŠKI VETER,2024-04-21 20:50:33,20,6
3,GOSPOSVETSKA C. - III. GIMNAZIJA,2024-04-21 20:49:59,20,18
21,GORKEGA UL. - OŠ FRANCETA PREŠERNA,2024-04-21 20:41:34,20,20
6,POŠTA - SLOMŠKOV TRG,2024-04-21 20:50:28,20,11
22,DVORANA TABOR,2024-04-21 20:50:24,20,17
14,ULICA MOŠE PIJADA - UKC,2024-04-21 20:50:23,20,20
19,LIDL - TITOVA C.,2024-04-21 20:41:05,20,20
25,SPAR - TRŽNICA TABOR,2024-04-21 20:45:05,20,12
17,NA POLJANAH - HEROJA ŠERCERJA,2024-04-21 20:50:12,20,7
28,UM FGPA - LENT - SODNI STOLP,2024-04-21 20:42:22,20,5
8,RAZLAGOVA UL. - OBČINA,2024-04-21 20:50:27,20,0
7,PARTIZANSKA C. - TIC,2024-04-21 20:47:17,20,13
2,GOSPOSVETSKA C. - VRBANSKA C.,2024-04-21 20:50:10,22,10
5,MLADINSKA UL. - TRUBARJEVA UL.,2024-04-21 20:50:58,16,4
12,MLINSKA UL . - AVTOBUSNA POSTAJA,2024-04-21 20:50:26,20,16
29,PETROL – LENT – VODNI STOLP,2024-04-21 20:50:45,20,5
15,LJUBLJANSKA UL. - II. GIMNAZIJA,2024-04-21 20:50:18,20,14
26,NICEHASH - C. PROLETARSKIH BRIGAD,2024-04-21 20:43:02,20,7
23,LJUBLJANSKA UL. - FOCHEVA,2024-04-21 20:49:20,20,15
27,JHMB – DVOETAŽNI MOST,2024-04-21 20:42:11,20,5
18,LIDL - KOROŠKA C.,2024-04-21 20:41:49,20,9
11,PARTIZANSKA C. - CANKARJEVA UL.,2024-04-21 20:50:31,20,20
